effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-5.481852494201816,0.09573855645608959,-57.258566424239575,0.0,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full,-0.0015296618135034181,0.00022165983019530259,-6.900942819254378,5.165852507005811e-12,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.L,-1.5075649837694733,0.18114717365251928,-8.322321311296413,8.625710126404504e-17,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.Q,-0.6713658224688213,0.19147346981821037,-3.506312509541048,0.00045436141357041774,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.C,0.22975651450663248,0.20127252804041187,1.1415194947047196,0.2536538041725819,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva.L,0.0009755723339695758,0.000343688388302977,2.8385373703971757,0.004532081210890643,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva.Q,0.0012206881998682963,0.0004433276010494762,2.7534676320143334,0.0058967600846761455,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva.C,0.0029720404256776676,0.0005243621175921179,5.667915980134761,1.4454480997979043e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.9461779423350783,,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),0.4738479802816015,0.20004181587301517,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.17160750129847044,0.25824561367458215,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.7236718799443128,0.20277987945967602,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.05518326212177035,0.20112331005131134,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),-0.8525240898677454,0.2032660059088686,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.7475150040030657,0.26732507076243534,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->V1,(Intercept),0.7954141713590874,0.19957732547895066,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->HVA,(Intercept),1.3317133522890143,0.251969445055367,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->V1,(Intercept),0.3959972476770542,0.20027342488554412,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->HVA,(Intercept),0.08550415839801592,0.2588748581123439,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->V1,(Intercept),0.24676642370283242,0.20040322265548682,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->HVA,(Intercept),-0.820219930733705,0.2682898610023405,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,269247:V1->V1,(Intercept),-1.4184522767282848,0.20566119603206415,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,271518:V1->V1,(Intercept),-1.6146258062636003,0.20663166599924793,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,292676:V1->V1,(Intercept),1.1641703236966932,0.19918348170922698,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,292676:V1->HVA,(Intercept),1.0247293814357676,0.25319621712733864,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,292685:V1->V1,(Intercept),1.1205827398506676,0.1992228094129111,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,292685:V1->HVA,(Intercept),1.8795967262178261,0.2502634789285138,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,294484:V1->V1,(Intercept),0.6078927443841676,0.19984135645468054,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,294484:V1->HVA,(Intercept),1.3287517769030166,0.2520531943705787,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
