effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-5.582554696001089,0.07978179242782213,-69.9727911108487,0.0,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_iv,-0.0012144147776689213,0.00015119451748154256,-8.03213501321021,9.57908700878495e-16,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.L,-1.5731610423455797,0.15244601997869145,-10.319462866695192,5.754417184489054e-25,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.Q,-0.5488393670676063,0.1595620868809687,-3.4396602463405577,0.000582444861873623,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.C,0.2192052951781904,0.16637489320864776,1.3175383073171323,0.18765824933822448,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_iv:proj_hva.L,0.0015309746554994686,0.00024045008078669018,6.367120570267714,1.9260976708497264e-10,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_iv:proj_hva.Q,0.0009532819871651101,0.00030239259934038604,3.1524646742166302,0.0016189840963530175,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_iv:proj_hva.C,0.001877071684027391,0.0003536464268471303,5.307763747995643,1.1097835456772824e-07,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.9414332857003526,,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),0.4563175235966844,0.17992012201140972,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.27734212095620664,0.21929178739848104,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),0.6212745969344312,0.1797349572758332,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),0.9897535931054393,0.21643326656456557,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.7630683255106839,0.1820438513862192,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),-3.14235203331678,0.2727728812111354,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.17782460811736267,0.18028905240689364,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.23716131128270612,0.1809895533440791,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),-0.8832773056929035,0.18239128802510843,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.6701665573459608,0.2254942309968242,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256443:V1->V1,(Intercept),0.2232180743989859,0.1802545730354383,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->V1,(Intercept),0.7578949458561256,0.1795904556166369,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->HVA,(Intercept),1.4266941517175058,0.21525972892540976,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->V1,(Intercept),0.29489594479317754,0.18018165036332837,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->HVA,(Intercept),0.14846173817408617,0.21988149475740465,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->V1,(Intercept),0.1145187263696706,0.18035441264973134,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->HVA,(Intercept),-0.8307196996851437,0.2269369667336897,,,DELTA_ORI_IV,LD_DENSITY_CONTROL
