effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-0.05276771283292015,0.04559014278151511,-1.1574368846748873,0.24709391174073495,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,in_silico_sig_corr_cvt,1.7321713907092682,0.12745701972064322,13.590239239123854,4.5758226273258484e-42,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.L,0.34245939214127996,0.08432689069903805,4.061093552749556,4.884339288132804e-05,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.Q,0.13127970827030536,0.09060822624110113,1.4488718487985928,0.14737337412728152,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.C,-0.6734645170768752,0.09706194059004519,-6.938502496270372,3.962779922893933e-12,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.L,-0.25518442438366407,0.2070478291141262,-1.2324902196535692,0.21776601785187563,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.Q,0.4355377837650437,0.25482580456914805,1.709158868354946,0.08742152554905884,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.C,-0.7872254131691296,0.2949148761576479,-2.6693309724678493,0.0076002516325081185,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.5359700017926923,,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),-0.10314316147210145,0.1375474742135057,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),-0.03212311141660492,0.2373569582113955,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),-0.38461357549338837,0.14000054254078992,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),-0.5327090348696604,0.22423305828369733,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),-0.2933725843034475,0.1588635508403742,,,IN_SILICO_SIG_CORR_CVT,SYNAPSE_DENSITY
