effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),0.025802912734147858,0.05342716803328338,0.48295490260822893,0.6291277574618812,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_location_distance_cvt,0.004997762318485534,0.0032954629872241994,1.5165584738353253,0.1293781964896463,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.L,0.5635604677149317,0.09706662885567725,5.8059136735124195,6.401594059613672e-09,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.Q,0.11977251081607117,0.10650341279146258,1.1245884772780939,0.2607634587495803,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.C,-0.6622420476303219,0.11561923499059316,-5.727784375015128,1.0175078069146825e-08,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_location_distance_cvt:proj_hva.L,-0.03533564658575328,0.006197710019979594,-5.701403659067873,1.188248851915006e-08,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_location_distance_cvt:proj_hva.Q,0.0018148220748711614,0.006590668498024077,0.27536236656649565,0.783037853984551,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_location_distance_cvt:proj_hva.C,-0.0028247648870618784,0.006962356303823196,-0.40571966785307045,0.6849485893953222,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.5084173310731795,,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),-0.09050958227398063,0.13450366042791848,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),-0.0008398888303144043,0.23651157567577039,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),-0.2234565459977434,0.13695862512056214,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),-0.4750558854865041,0.2201349665685931,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),-0.2672704110903628,0.15595799114645703,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->HVA,(Intercept),-0.2610435652922164,0.23924784191377482,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.2300095410282025,0.2107831291341235,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),0.05376599280426672,0.4637127070050657,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.19739726661144585,0.13625606387323858,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.46927500808097045,0.19382392203119198,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),0.9409571415588411,0.14242191796024994,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),0.3463075976555085,0.3170190938014046,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->V1,(Intercept),-0.9163054287512686,0.19502209433458847,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->HVA,(Intercept),0.13307164186773168,0.4796442142917656,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256443:V1->V1,(Intercept),-0.7457478119519981,0.1893447727202345,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->V1,(Intercept),-0.3203122746827499,0.13580433437745804,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->HVA,(Intercept),-0.3634149595549629,0.18739636406250637,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,258307:V1->V1,(Intercept),0.5188718297520418,0.11649595215518553,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,258307:V1->HVA,(Intercept),0.08483802313141774,0.24078130285272104,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,259167:V1->V1,(Intercept),-0.39560364573922124,0.17320339537755777,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,259167:V1->HVA,(Intercept),-0.030010991975335806,0.23748958847373697,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->V1,(Intercept),0.4040763030146318,0.12508815638182916,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,262773:V1->HVA,(Intercept),0.538568662619377,0.2112830211619335,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->V1,(Intercept),-0.37755935421149034,0.16899419354269263,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,264870:V1->HVA,(Intercept),-0.5416418661176593,0.3842262982234369,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,269247:V1->V1,(Intercept),1.5744287415848606,0.13920916990585622,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,269380:V1->V1,(Intercept),0.5139598604202561,0.12496031915295934,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,269380:V1->HVA,(Intercept),0.4328586395701935,0.3100793321086578,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,271518:V1->V1,(Intercept),-0.1828205232214955,0.2998228496986269,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292676:V1->V1,(Intercept),0.17674801183460503,0.11172896158790606,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292676:V1->HVA,(Intercept),-0.3634791618604162,0.2126679125406141,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292685:V1->V1,(Intercept),0.042853186488253606,0.11371701167351214,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292685:V1->HVA,(Intercept),-0.0378451876846282,0.14963915885437862,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292713:V1->V1,(Intercept),-0.34556031245440855,0.1441963920900502,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,292713:V1->HVA,(Intercept),0.13529685008362718,0.2773652224164777,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294484:V1->V1,(Intercept),0.02594587112568009,0.13046258767964575,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294484:V1->HVA,(Intercept),0.10248862548044306,0.17141142337385237,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294545:V1->V1,(Intercept),0.619219370526801,0.11920912249589434,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294545:V1->HVA,(Intercept),0.5407775802705771,0.3647494924326767,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294657:V1->V1,(Intercept),-0.21905226359901195,0.1290976197537633,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294657:V1->HVA,(Intercept),-0.3918159744614729,0.20724541933022586,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294776:V1->V1,(Intercept),0.26093525742269713,0.12095673667573685,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294776:V1->HVA,(Intercept),0.24095265283525782,0.23014095086710776,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294858:V1->V1,(Intercept),0.116822559379173,0.14012177563367378,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294858:V1->HVA,(Intercept),0.19437568283524456,0.35624973923189185,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294897:V1->V1,(Intercept),-0.18020244018592707,0.1700228222945499,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,294897:V1->HVA,(Intercept),-0.2568236916134599,0.2227560059277764,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,296726:V1->V1,(Intercept),0.022725417622349774,0.13003632498901066,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,296726:V1->HVA,(Intercept),0.049735004075623326,0.36584120405523257,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,300763:V1->V1,(Intercept),0.34232631524306745,0.15358295732477803,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,301095:V1->V1,(Intercept),-0.0988205735436561,0.1595171240012745,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,301189:V1->V1,(Intercept),-0.23895810124556335,0.13223501698638618,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,301189:V1->HVA,(Intercept),-0.28960816167719106,0.3250110990614503,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,327859:V1->V1,(Intercept),-0.2844138045921076,0.1550441246068969,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,327859:V1->HVA,(Intercept),-0.20636283275100242,0.18248412937771613,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,330079:V1->V1,(Intercept),0.31723373902365914,0.13793206713506606,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,330079:V1->HVA,(Intercept),0.5792174147559455,0.17717549569006713,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,330326:V1->V1,(Intercept),0.40929610548691975,0.14185516462219394,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,330326:V1->HVA,(Intercept),0.14345056425134797,0.481880340538621,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,331945:V1->V1,(Intercept),-0.42396253195864225,0.24292440067301843,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,331945:V1->HVA,(Intercept),0.04323513303347477,0.46168341437954696,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,332199:V1->V1,(Intercept),0.2685577888331292,0.19351866066097828,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,332199:V1->HVA,(Intercept),0.45682766932710567,0.32325440101490155,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,335175:V1->V1,(Intercept),-0.4451883672487058,0.18129962424097582,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,335175:V1->HVA,(Intercept),-0.2947727140283892,0.1819710157730389,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,460053:HVA->HVA,(Intercept),0.32245223913376286,0.22151913899147274,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,460053:HVA->V1,(Intercept),-0.26597933661833,0.1993413006381238,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,460391:HVA->HVA,(Intercept),0.4762426011399767,0.1553980623488664,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,460391:HVA->V1,(Intercept),0.2563531477441807,0.14746969484403663,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,487512:HVA->HVA,(Intercept),0.29853437032013136,0.17407818878288486,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,487512:HVA->V1,(Intercept),-0.45527588491587007,0.3644792263592569,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,489675:HVA->HVA,(Intercept),0.7255889597604176,0.1458406897703521,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493419:HVA->HVA,(Intercept),0.06116851300663697,0.20796607154752966,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493419:HVA->V1,(Intercept),-0.53929157067513,0.3205939911453461,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493806:HVA->HVA,(Intercept),0.4856509626258046,0.14557972053345958,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493806:HVA->V1,(Intercept),-0.1377304960549949,0.3285765995269852,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493885:HVA->HVA,(Intercept),0.5766703060060899,0.2860630866478077,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,493885:HVA->V1,(Intercept),-0.04339019657505939,0.29187371027447034,,,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY
