effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-5.841832244941594,0.07209862794236589,-81.02556749916837,0.0,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_similarity_cvt,1.1150534497856845,0.034464706690672114,32.353487287546656,1.2391804427035561e-229,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.L,-1.7539842281389328,0.14007307506019354,-12.521922770562394,5.664604870546449e-36,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.Q,-0.3547056022553102,0.14419603933545122,-2.459884500919883,0.013898173476817963,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.C,0.4141923499868192,0.1482050806863789,2.794724364836748,0.00519439824233997,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_similarity_cvt:proj_hva.L,-0.11511923513773722,0.0533829804286225,-2.1564782298294722,0.031046341902195525,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_similarity_cvt:proj_hva.Q,-0.17336469678528837,0.06892884873037589,-2.5151253789748735,0.011899005935765325,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_similarity_cvt:proj_hva.C,0.707650639397883,0.08156428884517061,8.675986138261814,4.099821079360505e-18,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.9960941426361025,,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),0.3985693699886219,0.16768462731759745,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.5749529714630041,0.19277167861968802,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),0.5525105560053106,0.16753984290857143,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),1.2813230746524145,0.19024345995785596,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),0.11755188882471036,0.16799283639098683,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->HVA,(Intercept),0.7765750333942191,0.1919145013721403,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.8085376607454279,0.1694355660581147,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),-2.4827834199762977,0.2303633667602127,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.10018768072287271,0.1680076856038954,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.3237993970139252,0.16857483559268702,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),-0.9270762341839738,0.16973967004540944,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.7416356715892587,0.20165016656099954,,,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL
