effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-4.735368731078995,0.07632951792230291,-62.03849912820366,0.0,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full,-0.0013422953494923737,0.0002702987294641242,-4.9659698813735345,6.835856421401269e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.L,-0.01421614566735382,0.27225465904852797,-0.05221635404527592,0.9583563020661764,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.Q,1.3510266954063432,0.25678568807593793,5.261300602574123,1.430399555787487e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.C,0.06843889822491638,0.27667665860510643,0.24736057812017123,0.8046291804220845,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^4,-0.5322945528003893,0.2670129573572973,-1.9935158131225499,0.046204993730424276,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^5,1.5223548152112496,0.2797788163578444,5.441279776036074,5.289915915294361e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^6,1.5112920075523115,0.27008229662293715,5.595672231942813,2.1976855151439233e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^7,-0.6810699505511948,0.28281495772656734,-2.4081822122352894,0.016032177118388162,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^8,-0.4856812891488405,0.28427367768167083,-1.708498982774992,0.08754379497144425,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^9,0.4981148413408424,0.2863316531099302,1.7396429487647427,0.08192173282659657,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^10,0.1751653667582933,0.2802474577206065,0.6250382008208079,0.5319459863599973,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^11,-1.1273645764090414,0.2913146603763285,-3.869920500920482,0.00010887084902563974,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^12,0.057984053381188075,0.2518709054111375,0.23021338366390004,0.8179259624799146,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer.L,0.006657107806968172,0.000868593523599425,7.664238364777717,1.7989552091292127e-14,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer.Q,-0.003451570838131671,0.000841389635043399,-4.102226476742418,4.0919344835949684e-05,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer.C,-0.0011008270966538375,0.000977979578389688,-1.1256135823065205,0.2603291164862619,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^4,0.0010543527814698233,0.000864223475763533,1.2200001631965771,0.22246481303008614,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^5,0.00013705653550479427,0.0009760790427641117,0.14041540643744424,0.8883317858688655,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^6,-0.0031088540862985498,0.0009268620868139022,-3.3541711658368367,0.0007960310505102763,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^7,-0.0013784649255171432,0.0009556883793452754,-1.4423790801573881,0.149195462153669,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^8,0.001015387629714384,0.0010567877290528515,0.9608245835939327,0.3366403756054654,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^9,-0.0049828568775738,0.0009806765820149833,-5.081039936056788,3.753741842924725e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^10,0.0012519858443850015,0.0010921983057428026,1.1462990171308933,0.25167144947603076,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^11,0.0017288370806401727,0.0011607182479234156,1.4894545543099291,0.136367711997858,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_cvt_monet_full:proj_hva_layer^12,-0.00110322855571919,0.0009425404981009548,-1.1704839823243585,0.24180625638750214,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva_layer,,sd__(Intercept),0.864224801665435,,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,189149:V1L2/3->V1L2/3,(Intercept),0.4576897499772394,0.26381467541876363,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,189149:V1L2/3->V1L5,(Intercept),-0.32217583509203124,0.2685073934637155,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,189149:V1L2/3->HVAL2/3,(Intercept),-0.5731016655554215,0.36475738580357503,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,224565:V1L2/3->V1L2/3,(Intercept),-1.4848189027475895,0.27005843253602824,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,224565:V1L2/3->V1L5,(Intercept),-0.743176601094962,0.27038596996856357,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,256576:V1L2/3->V1L2/3,(Intercept),0.712960993927496,0.2634014565330898,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,256576:V1L2/3->V1L4,(Intercept),-0.16585553705570374,0.2935249381168097,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,256576:V1L2/3->V1L5,(Intercept),0.07244616249939088,0.26691910476498976,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,256576:V1L2/3->HVAL2/3,(Intercept),-0.33121258674879295,0.3633277095056148,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,256576:V1L2/3->HVAL5,(Intercept),1.0257938419277317,0.32120313612843654,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292676:V1L2/3->V1L2/3,(Intercept),1.0626896873724472,0.2630232986424399,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292676:V1L2/3->V1L4,(Intercept),-0.0137501390352325,0.2931759354611317,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292676:V1L2/3->V1L5,(Intercept),0.6346955079201665,0.26541736313577186,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292676:V1L2/3->HVAL2/3,(Intercept),0.032722540172517536,0.3617098713393268,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292676:V1L2/3->HVAL5,(Intercept),-0.17975914774542287,0.3322075306944663,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292685:V1L2/3->V1L2/3,(Intercept),1.1079421620079957,0.26295197256428177,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292685:V1L2/3->V1L4,(Intercept),0.14910888671507422,0.2927067210117888,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292685:V1L2/3->V1L5,(Intercept),0.24306696673015618,0.2665042617310168,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292685:V1L2/3->HVAL2/3,(Intercept),0.8689750419885073,0.35893166840860236,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,292685:V1L2/3->HVAL5,(Intercept),1.0299515495470095,0.3211120124343903,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294484:V1L2/3->V1L2/3,(Intercept),0.2102681300791483,0.2642548621626491,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294484:V1L2/3->V1L4,(Intercept),0.11032381035067731,0.2928229024872298,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294484:V1L2/3->V1L5,(Intercept),0.057675379177961776,0.26693686414086,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294484:V1L2/3->HVAL2/3,(Intercept),0.41833393189021134,0.3603042790893986,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294484:V1L2/3->HVAL5,(Intercept),0.2658076971695873,0.3272262383171242,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294545:V1L2/3->V1L2/3,(Intercept),-0.16971317023811305,0.2657429369665462,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294545:V1L2/3->V1L4,(Intercept),-0.21399056586250254,0.2938677935127903,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294545:V1L2/3->V1L5,(Intercept),0.07757617125502608,0.26726904717250677,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294545:V1L2/3->HVAL5,(Intercept),-1.296660417722283,0.3534386478058694,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294776:V1L2/3->V1L2/3,(Intercept),-0.010138040666171834,0.26473669574367037,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294776:V1L2/3->V1L4,(Intercept),0.19946980755011587,0.29257876668218985,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294776:V1L2/3->V1L5,(Intercept),0.28038275253793904,0.2662858931969798,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294776:V1L2/3->HVAL5,(Intercept),0.4607904639160118,0.3252629149230532,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294858:V1L2/3->V1L2/3,(Intercept),-0.6597830591179311,0.26651308992928646,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294858:V1L2/3->V1L4,(Intercept),-0.04466224466075598,0.2931842112840406,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294858:V1L2/3->V1L5,(Intercept),-0.0981857383795457,0.2675142448993382,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294858:V1L2/3->HVAL5,(Intercept),-1.439122614039015,0.35762162360397937,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294897:V1L2/3->V1L2/3,(Intercept),-1.038930446050288,0.267917898111922,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294897:V1L2/3->V1L4,(Intercept),-0.4518624388323124,0.2944489181324659,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294897:V1L2/3->V1L5,(Intercept),-0.3554917080027373,0.26855441908161515,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294897:V1L2/3->HVAL2/3,(Intercept),-0.4102341038800024,0.3637850606826359,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva_layer,294897:V1L2/3->HVAL5,(Intercept),0.15300006354129206,0.3283175874788604,,,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL
