contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.008066569470613858,-1.7600283690804381,0.07840299664021957,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.34354478618278816
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.00693255808374954,2.1079500513770526,0.03503531016191009,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.2950169418658259
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),0.0011652835291038764,0.1873447617501536,0.8513903294209639,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9683150755855299
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),0.0153828781364464,2.4453308390560657,0.014471932009023684,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.29029068302886907
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.003500208871253815,0.7579478981776253,0.4484821742548139,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.8993872013341971
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),0.002213134019895701,0.48679890726217967,0.6264008448120113,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9683150755855299
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),0.002264151312856954,0.5124426571456177,0.6083412430537538,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9683150755855299
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-0.0007179042580433667,-0.11350938774189397,0.909626720842988,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9818871392043853
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.0013096197881009822,-0.29277310651725086,0.7696955858524102,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9683150755855299
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.0018819572799497748,-0.3253694221341576,0.744901495159572,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.9683150755855299
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),0.002536729460456198,0.5693464041997366,0.5691210811007926,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.924821756788788
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),0.0036447829469936103,0.7874584658354995,0.43101353296111833,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.8993872013341971
(V1L2/3->V1L4) - (V1L2/3->V1L5),0.014999127554363398,3.418133265682379,0.0006305222615144903,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.02782309479609947
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),0.009231852999717734,1.34542076029158,0.1784893947398062,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.6053118604219515
(V1L2/3->V1L4) - (V1L2/3->HVAL5),0.02344944760706026,3.38437202023926,0.0007134126870794736,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.02782309479609947
(V1L2/3->V1L4) - (HVAL2/3->V1L2/3),0.011566778341867671,2.120322037677527,0.03397889641401724,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.2950169418658259
(V1L2/3->V1L4) - (HVAL2/3->V1L5),0.010279703490509558,1.9049818126445506,0.05678243530459259,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.2950169418658259
(V1L2/3->V1L4) - (HVAL2/3->HVAL2/3),0.01033072078347081,1.9544622949542103,0.05064656976333715,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.2950169418658259
