variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->V1L2/3,14,0,2022,2514,0,0,0,11705,23156,471.991445601,34861
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->V1L4,11,0,1511,1782,0,0,0,6971,12910,198.53679448999998,19881
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->V1L5,14,0,879,979,0,0,0,6509,7264,223.66986764179998,13773
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->HVAL2/3,10,0,817,1039,0,0,0,2953,7327,82.533649706,10280
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->HVAL4,12,0,592,713,0,0,0,2154,6355,49.083338323999996,8509
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L2/3->HVAL5,9,0,346,396,0,0,0,1588,1961,48.631672429000005,3549
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->V1L2/3,29,0,1975,2517,0,0,0,9089,63627,184.3283857202,72716
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->V1L4,23,0,1331,1817,0,0,0,3125,38617,45.1233853484,41742
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->V1L5,43,0,873,1006,0,0,0,7804,35275,161.116608397,43079
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->HVAL2/3,26,0,867,1039,0,0,0,8449,18278,342.683245909,26727
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->HVAL4,29,0,615,713,0,0,0,6702,13875,217.943953309,20577
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL2/3->HVAL5,46,0,354,402,0,0,0,8372,9918,305.27376750850004,18290
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->HVAL2/3,10,0,847,1039,0,0,0,3557,6636,119.79737779569999,10193
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->HVAL4,10,0,607,697,0,0,0,3114,3927,110.4208915138,7041
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL4->HVAL5,10,0,349,365,0,0,0,2228,1727,128.10000666,3955
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->V1L5,12,0,807,1006,0,0,0,2350,9681,53.043699232,12031
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->HVAL2/3,15,0,833,1039,0,0,0,4790,10624,133.44574977899998,15414
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->HVAL4,13,0,611,711,0,0,0,3175,6045,77.856848691,9220
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVAL5->HVAL5,16,0,354,395,0,0,0,3694,2588,163.783644475,6282
