contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),0.0012482438152922523,1.8935295662163614,0.05828748017680988,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.11199055180038751
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-0.0018956182569879647,-2.912097743667023,0.00359010274913727,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.014973355368353005
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),0.0003421312877646094,0.3847473599982315,0.7004246029443533,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.7677731224582335
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),-0.000975386736065253,-0.8882463382988456,0.3744082578821308,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.4963086209135222
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.00012622523769086367,-0.10261531382221031,0.918268288330638,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.945926971714091
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),-0.004355378893933069,-7.375238684656168,1.6405087548802232e-13,DELTA_ORI_IV,LD_DENSITY_CONTROL,1.402634985422591e-11
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),-0.003552090819822308,-4.24392121417166,2.196474955153675e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00021261595831643037
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.00352764873110252,-5.656342667355291,1.546325942935684e-08,DELTA_ORI_IV,LD_DENSITY_CONTROL,4.4070289373666994e-07
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.0024402370807168057,-4.268837924672451,1.964939733736802e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00021000293404312072
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-0.001837236413778131,-2.8198177921495007,0.004805092525290523,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.01825935159610399
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.002199067509782836,-3.6408751432492763,0.0002717128879674011,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0018585161536970238
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.001779203877678752,-2.167237685284253,0.030216735248677674,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.06652932778540527
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.0009760109856942449,-1.1158885912447714,0.2644698258937449,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.389865001964055
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),-0.004678431244330118,-5.144935024539256,2.67613419640134e-07,DELTA_ORI_IV,LD_DENSITY_CONTROL,4.160172250769356e-06
(V1L2/3->V1L2/3) - (HVAL5->V1L5),-0.0041651236163692835,-4.390020109616917,1.1334017890432322e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00013843693280456623
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),-0.003961278215665954,-5.416579644351672,6.074993659639578e-08,DELTA_ORI_IV,LD_DENSITY_CONTROL,1.48403416542624e-06
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),-0.0014417947105409864,-1.5887571872165325,0.11211522239539203,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.19171703029612036
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),-0.0024502871916205296,-3.134238681276722,0.001723006439407336,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00866570885701925
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.003143862072280217,-4.151237142905101,3.306829070357159e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0002827338855155371
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),-0.0009061125275276429,-0.9343052226564253,0.350146471068347,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.4790003724214987
(V1L2/3->V1L4) - (V1L2/3->HVAL4),-0.002223630551357505,-1.9098019865043967,0.05615871343392523,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.11038091950805992
(V1L2/3->V1L4) - (V1L2/3->HVAL5),-0.001374469052983116,-1.0658558966557514,0.2864887883792243,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.4082465234403947
(V1L2/3->V1L4) - (HVAL2/3->V1L2/3),-0.005603622709225321,-7.936161351624349,2.0853469106584456e-15,DELTA_ORI_IV,LD_DENSITY_CONTROL,3.565943217225942e-13
(V1L2/3->V1L4) - (HVAL2/3->V1L4),-0.004800334635114561,-5.205593162905953,1.9337789888624808e-07,DELTA_ORI_IV,LD_DENSITY_CONTROL,3.3067620709548425e-06
(V1L2/3->V1L4) - (HVAL2/3->V1L5),-0.004775892546394773,-6.5065333342779,7.690484372443471e-11,DELTA_ORI_IV,LD_DENSITY_CONTROL,4.383576092292779e-09
(V1L2/3->V1L4) - (HVAL2/3->HVAL2/3),-0.0036884808960090582,-5.342861711725961,9.149056140354892e-08,DELTA_ORI_IV,LD_DENSITY_CONTROL,1.9556107500008583e-06
(V1L2/3->V1L4) - (HVAL2/3->HVAL4),-0.0030854802290703836,-4.071367925386129,4.673785967208164e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0003632806365420891
(V1L2/3->V1L4) - (HVAL2/3->HVAL5),-0.0034473113250750886,-4.805441627317178,1.5441028519958378e-06,DELTA_ORI_IV,LD_DENSITY_CONTROL,2.031089136086833e-05
(V1L2/3->V1L4) - (HVAL4->HVAL2/3),-0.0030274476929710043,-3.335564475500603,0.0008512641128679811,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0048522054433474925
(V1L2/3->V1L4) - (HVAL4->HVAL4),-0.002224254800986497,-2.325488522858869,0.020045852912317287,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.05135554251130092
(V1L2/3->V1L4) - (HVAL4->HVAL5),-0.005926675059622371,-5.996960361004306,2.0104510955868704e-09,DELTA_ORI_IV,LD_DENSITY_CONTROL,6.875742746907098e-08
(V1L2/3->V1L4) - (HVAL5->V1L5),-0.005413367431661536,-5.282935883755024,1.2712989379289294e-07,DELTA_ORI_IV,LD_DENSITY_CONTROL,2.415467982064966e-06
(V1L2/3->V1L4) - (HVAL5->HVAL2/3),-0.005209522030958207,-6.295954046958292,3.055148781047619e-10,DELTA_ORI_IV,LD_DENSITY_CONTROL,1.3060761038978572e-08
(V1L2/3->V1L4) - (HVAL5->HVAL4),-0.0026900385258332386,-2.7265805888049552,0.006399432338849351,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.021678454445566406
(V1L2/3->V1L4) - (HVAL5->HVAL5),-0.003698531006912782,-4.239712469630404,2.2380627191203194e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00021261595831643037
(V1L2/3->V1L5) - (V1L2/3->HVAL2/3),0.002237749544752574,2.3207779709514864,0.020298830027056344,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.05135554251130092
(V1L2/3->V1L5) - (V1L2/3->HVAL4),0.0009202315209227118,0.7935335259970875,0.42746704430495536,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.5496004855349426
(V1L2/3->V1L5) - (V1L2/3->HVAL5),0.0017693930192971012,1.3765983729603088,0.1686364542213828,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.27463651116053767
(V1L2/3->V1L5) - (HVAL2/3->V1L2/3),-0.002459760636945104,-3.5221269363591414,0.00042809910764124844,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0026144624073804815
(V1L2/3->V1L5) - (HVAL2/3->V1L4),-0.001656472562834343,-1.807868989422749,0.07062689320252019,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.1312738993220756
(V1L2/3->V1L5) - (HVAL2/3->V1L5),-0.0016320304741145547,-2.246127207465093,0.02469586109051832,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0570674627902518
(V1L2/3->V1L5) - (HVAL2/3->HVAL2/3),-0.0005446188237288413,-0.798016777132808,0.4248607542442436,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.5496004855349426
(V1L2/3->V1L5) - (HVAL2/3->HVAL4),5.838184320983406e-05,0.07777335030819377,0.9380083455955899,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.9604756113583585
(V1L2/3->V1L5) - (HVAL2/3->HVAL5),-0.0003034492527948711,-0.4275222296012928,0.6689989974458934,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.7527114506467646
(V1L2/3->V1L5) - (HVAL4->HVAL2/3),0.0001164143793092131,0.12911412551068865,0.8972673450239245,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.9298952484793399
(V1L2/3->V1L5) - (HVAL4->HVAL4),0.0009196072712937203,0.9672053562620803,0.333441385096077,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.46356485245064366
(V1L2/3->V1L5) - (HVAL4->HVAL5),-0.0027828129873421533,-2.831562628536278,0.0046321161242948656,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.01800208766487323
(V1L2/3->V1L5) - (HVAL5->V1L5),-0.0022695053593813188,-2.2263387514617903,0.0259914996752768,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.058480874269372804
(V1L2/3->V1L5) - (HVAL5->HVAL2/3),-0.00206565995867799,-2.5164365223324867,0.01185482528353761,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.03495129523249882
(V1L2/3->V1L5) - (HVAL5->HVAL4),0.00045382354644697855,0.4625698661296436,0.6436727123796511,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.7337868921128022
(V1L2/3->V1L5) - (HVAL5->HVAL5),-0.0005546689346325646,-0.6404046881680151,0.5219095357568848,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.6318831664142969
(V1L2/3->HVAL2/3) - (V1L2/3->HVAL4),-0.0013175180238298623,-1.006992756436884,0.31393825512375806,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.44002821005051335
(V1L2/3->HVAL2/3) - (V1L2/3->HVAL5),-0.000468356525455473,-0.3296078215116309,0.7416963118837667,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.7926879333257757
(V1L2/3->HVAL2/3) - (HVAL2/3->V1L2/3),-0.004697510181697678,-5.0810287633985505,3.7539626565081744e-07,DELTA_ORI_IV,LD_DENSITY_CONTROL,5.349396785524149e-06
(V1L2/3->HVAL2/3) - (HVAL2/3->V1L4),-0.0038942221075869174,-3.5452793430957628,0.00039219720600323633,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.002483915638020497
(V1L2/3->HVAL2/3) - (HVAL2/3->V1L5),-0.0038697800188671294,-4.090587185067039,4.3028241971940655e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0003503728274858025
(V1L2/3->HVAL2/3) - (HVAL2/3->HVAL2/3),-0.0027823683684814154,-3.0489633756104566,0.002296324744910933,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.010612744091345123
(V1L2/3->HVAL2/3) - (HVAL2/3->HVAL4),-0.0021793677015427403,-2.259277493193856,0.023866129027708054,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.056682056440806636
(V1L2/3->HVAL2/3) - (HVAL2/3->HVAL5),-0.0025411987975474458,-2.7231890932969343,0.006465503957449629,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.021678454445566406
(V1L2/3->HVAL2/3) - (HVAL4->HVAL2/3),-0.002121335165443361,-1.9528779038172364,0.050834064539614095,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.1022661768973413
(V1L2/3->HVAL2/3) - (HVAL4->HVAL4),-0.0013181422734588545,-1.1691984632383765,0.2423236802057536,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.3603247766537727
(V1L2/3->HVAL2/3) - (HVAL4->HVAL5),-0.005020562532094728,-4.348683794598463,1.3695701283071324e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00015613099462701311
(V1L2/3->HVAL2/3) - (HVAL5->V1L5),-0.004507254904133893,-3.8009649981752833,0.00014413366327002737,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.0010716024530075948
(V1L2/3->HVAL2/3) - (HVAL5->HVAL2/3),-0.004303409503430564,-4.21815039955548,2.463145077043915e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.00022168305693395234
(V1L2/3->HVAL2/3) - (HVAL5->HVAL4),-0.0017839259983055955,-1.5471204993026402,0.12183419168457432,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.2042514390006099
(V1L2/3->HVAL2/3) - (HVAL5->HVAL5),-0.002792418479385139,-2.6419170210509746,0.00824382503303608,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.02610544593794759
(V1L2/3->HVAL4) - (V1L2/3->HVAL5),0.000849161498374389,0.5442683349657431,0.5862568336346441,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.6928623423870434
(V1L2/3->HVAL4) - (HVAL2/3->V1L2/3),-0.003379992157867816,-2.999460538122669,0.0027045815609026804,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.011881309694499602
(V1L2/3->HVAL4) - (HVAL2/3->V1L4),-0.002576704083757055,-2.0234302330982774,0.04302880978303893,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.09083859843085997
(V1L2/3->HVAL4) - (HVAL2/3->V1L5),-0.002552261995037267,-2.2298759940192805,0.025755676504931505,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.058480874269372804
(V1L2/3->HVAL4) - (HVAL2/3->HVAL2/3),-0.0014648503446515531,-1.3113239041674325,0.18974835566553658,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.3004348964704329
(V1L2/3->HVAL4) - (HVAL2/3->HVAL4),-0.0008618496777128781,-0.7429719368564965,0.457498670885442,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.5752372994221366
