variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->V1L2/3,14,369,2022,0,458,425,458,12130,0,502.88845302100003,12130
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->V1L4,11,105,1511,0,120,111,120,7082,0,204.38843885,7082
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->V1L5,14,203,879,0,413,324,413,6833,0,251.6038731018,6833
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->HVAL2/3,10,111,817,0,128,119,128,3072,0,89.524188716,3072
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->HVAL4,12,48,592,0,55,49,55,2203,0,51.485684084000006,2203
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L2/3->HVAL5,9,68,346,0,93,73,93,1661,0,52.638634229000004,1661
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->V1L2/3,29,287,1975,0,330,312,330,9401,0,196.0416286002,9401
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->V1L4,23,50,1331,0,53,50,53,3175,0,46.318827978399995,3175
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->V1L5,43,151,873,0,217,187,217,7991,0,169.14386577700003,7991
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->HVAL2/3,26,238,867,0,328,299,328,8748,0,368.704531849,8748
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->HVAL4,29,99,615,0,133,118,133,6820,0,226.191478399,6820
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL2/3->HVAL5,46,152,354,0,251,223,251,8595,0,322.3513017085,8595
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->HVAL2/3,10,171,847,0,216,209,216,3766,0,132.96444382570002,3766
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->HVAL4,10,76,607,0,94,83,94,3197,0,116.35797611379999,3197
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL4->HVAL5,10,65,349,0,75,70,75,2298,0,135.24848487,2298
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->V1L5,12,41,807,0,48,43,48,2393,0,54.756158192,2393
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->HVAL2/3,15,164,833,0,199,185,199,4975,0,143.53034000899999,4975
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->HVAL4,13,53,611,0,62,56,62,3231,0,80.62727761100001,3231
DELTA_ORI_IV,SYNAPSE_DENSITY,HVAL5->HVAL5,16,116,354,0,156,146,156,3840,0,176.857637575,3840
