contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.009310937181361965,-2.3501618579174846,0.018765249084966094,DELTA_ORI_IV,SYNAPSE_DENSITY,0.18875632903112954
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.006941918213716024,2.5607341318974415,0.010445125604585815,DELTA_ORI_IV,SYNAPSE_DENSITY,0.13739357526032112
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.0011091425827140006,-0.286470381888587,0.7745178751547682,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8991874866561258
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),-0.00046568110417016123,-0.08320360364071169,0.9336896473867514,DELTA_ORI_IV,SYNAPSE_DENSITY,0.9752815657994454
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),0.008783364003924718,1.9231869151265846,0.054456579950423786,DELTA_ORI_IV,SYNAPSE_DENSITY,0.3184227768908927
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.00155156720693243,0.5458629251788628,0.5851601649832436,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8392032440665134
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),0.006954571550658958,1.2404794765243667,0.21479810069677643,DELTA_ORI_IV,SYNAPSE_DENSITY,0.5488581122601983
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),0.0010894603007351017,0.34988156586629626,0.7264275820215922,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8991874866561258
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.002948180532865632,-1.0593255304824714,0.2894515516838922,DELTA_ORI_IV,SYNAPSE_DENSITY,0.6345668633069944
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),0.00351451436400297,0.9370756707603188,0.3487196351061336,DELTA_ORI_IV,SYNAPSE_DENSITY,0.6776256545812369
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.004564952530807411,-1.5319863224505246,0.1255258099834709,DELTA_ORI_IV,SYNAPSE_DENSITY,0.44067047584660735
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),0.0025321118157920854,0.7817153915748127,0.4343818541177938,DELTA_ORI_IV,SYNAPSE_DENSITY,0.7354385846944825
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.0025913784629023663,-0.5868776842133033,0.5572858583025293,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8392032440665134
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),0.00886876613403825,1.8308123234305196,0.06712856031917919,DELTA_ORI_IV,SYNAPSE_DENSITY,0.3376171710170483
(V1L2/3->V1L2/3) - (HVAL5->V1L5),0.003052945609390145,0.540115734776453,0.5891172200569813,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8392032440665134
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),-0.0017234063842912377,-0.5238265962222287,0.6003991530866211,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8392032440665134
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),0.0013496233761422288,0.261094854565799,0.7940193595618421,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8991874866561258
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),0.0012423893509425528,0.35145940355213157,0.7252437235225191,DELTA_ORI_IV,SYNAPSE_DENSITY,0.8991874866561258
(V1L2/3->V1L4) - (V1L2/3->V1L5),0.01625285539507799,4.062604587708592,4.8528193131436686e-05,DELTA_ORI_IV,SYNAPSE_DENSITY,0.008298321025475675
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),0.008201794598647966,1.6865732848722006,0.09168543247762116,DELTA_ORI_IV,SYNAPSE_DENSITY,0.3959236939181414
(V1L2/3->V1L4) - (V1L2/3->HVAL4),0.008845256077191804,1.3988941739279006,0.16184471993492103,DELTA_ORI_IV,SYNAPSE_DENSITY,0.4942044126584196
(V1L2/3->V1L4) - (V1L2/3->HVAL5),0.018094301185286685,3.330728675611583,0.000866189853512551,DELTA_ORI_IV,SYNAPSE_DENSITY,0.03702961623766156
(V1L2/3->V1L4) - (HVAL2/3->V1L2/3),0.010862504388294395,2.6554172726341636,0.00792103595505187,DELTA_ORI_IV,SYNAPSE_DENSITY,0.13544971483138699
(V1L2/3->V1L4) - (HVAL2/3->V1L4),0.016265508732020924,2.5690813692128436,0.010196851136185969,DELTA_ORI_IV,SYNAPSE_DENSITY,0.13739357526032112
(V1L2/3->V1L4) - (HVAL2/3->V1L5),0.010400397482097068,2.4281283752350347,0.015176970103889038,DELTA_ORI_IV,SYNAPSE_DENSITY,0.17301745918433503
(V1L2/3->V1L4) - (HVAL2/3->HVAL2/3),0.0063627566484963346,1.5711513797771217,0.11614749048119828,DELTA_ORI_IV,SYNAPSE_DENSITY,0.44067047584660735
(V1L2/3->V1L4) - (HVAL2/3->HVAL4),0.012825451545364937,2.6906480292132833,0.007131338912261582,DELTA_ORI_IV,SYNAPSE_DENSITY,0.13544971483138699
(V1L2/3->V1L4) - (HVAL2/3->HVAL5),0.0047459846505545555,1.1333697491643935,0.25705901219548893,DELTA_ORI_IV,SYNAPSE_DENSITY,0.6009688587211615
(V1L2/3->V1L4) - (HVAL4->HVAL2/3),0.011843048997154052,2.7063693843838093,0.006802333570090162,DELTA_ORI_IV,SYNAPSE_DENSITY,0.13544971483138699
(V1L2/3->V1L4) - (HVAL4->HVAL4),0.0067195587184596004,1.2663405413009539,0.20539118829427547,DELTA_ORI_IV,SYNAPSE_DENSITY,0.5487795812237672
(V1L2/3->V1L4) - (HVAL4->HVAL5),0.018179703315400215,3.207469731805139,0.0013390815098074929,DELTA_ORI_IV,SYNAPSE_DENSITY,0.04579658763541626
(V1L2/3->V1L4) - (HVAL5->V1L5),0.012363882790752111,1.9402813921846676,0.05234550152664364,DELTA_ORI_IV,SYNAPSE_DENSITY,0.3184227768908927
