proj_hva_layer,in_silico_sig_corr_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,1.692436210139063,0.07594488512529324,inf,1.5435869704834566,1.8412854497946696,22.28505853089245,5.158944590608855e-110,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,6.190733508730627e-109
V1L2/3->V1L4,0.6320765512868559,0.10173318376518929,inf,0.43268317507449006,0.8314699274992218,6.213081394815618,5.195551878747737e-10,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,9.591788083841977e-10
V1L2/3->V1L5,0.9290286944725867,0.10742232224089916,inf,0.7184848117447684,1.139572577200405,8.648376567294832,5.2237212029580936e-18,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,1.392992320788825e-17
V1L2/3->HVAL2/3,2.275993383782464,0.18790395904486432,inf,1.907708391502041,2.6442783760628874,12.11253554928581,9.064798311289874e-34,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,5.4388789867739245e-33
V1L2/3->HVAL4,1.5195274216751051,0.2392286944785969,inf,1.0506477964285192,1.988407046921691,6.351777427816264,2.1284113320414043e-10,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,4.2568226640828087e-10
V1L2/3->HVAL5,0.73865518406165,0.2608422322928031,inf,0.22741380312072534,1.2498965650025746,2.8318082450409627,0.0046285596885287834,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.00555427162623454
V1L4->V1L2/3,0.5512698005021094,0.20270646099655867,inf,0.15397243751528128,0.9485671634889374,2.7195472595788064,0.006537135277844467,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.007471011746107962
V1L4->V1L4,0.5249744881629623,0.1626131850492075,inf,0.20625850205516855,0.843690474270756,3.2283636041204327,0.0012450061495604336,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.0016537849074667885
V1L4->V1L5,0.5379562734486374,0.16738190381581275,inf,0.209893770305897,0.8660187765913778,3.2139452424953006,0.0013092463850778741,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.0016537849074667885
V1L5->V1L4,0.4911938119210237,0.18168778175325823,inf,0.13509230325366406,0.8472953205883833,2.7035049202598076,0.006861243217915027,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.007484992601361848
