contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),0.7135147492006887,9.28257058113128,1.6543812939789826e-20,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,4.566092371381992e-19
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.49323396065183167,6.187615367583626,6.108114235633203e-10,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,6.243850107536163e-09
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.00993116635634748,-0.08523680675326974,0.9320731294853347,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.9598962079774342
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),0.37501104273444014,2.5279243735722323,0.01147390643209628,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.022782720685313475
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.058263530461770734,-0.3571866110949433,0.7209521084855472,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.8023499271855284
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),0.6603475264572667,5.396606887072536,6.791296053923554e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,4.1653282464064465e-07
(V1L2/3->V1L2/3) - (V1L4->V1L4),0.6438804519694118,5.609643080425399,2.027443161998562e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.5543730908655642e-07
(V1L2/3->V1L2/3) - (V1L4->V1L5),0.635872160572831,5.42939646541048,5.654494466203396e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.6189595066598453e-07
(V1L2/3->V1L2/3) - (V1L5->V1L4),0.6393020037576287,5.586670749962182,2.3146396047964036e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.7265960295238036e-07
(V1L2/3->V1L2/3) - (V1L5->V1L5),0.5449647764724816,5.543381671085664,2.9668519202592296e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,2.1548713947145984e-07
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),1.0318238067163976,13.50491787361693,1.4627678007680767e-41,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,2.0186195650599458e-39
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),1.0634022586425964,9.69056670324485,3.306886400035549e-22,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.8254012928196228e-20
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),0.7248729126907278,9.4084383488003,5.0356271132218934e-21,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.7372913540615533e-19
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),0.01631004178198968,0.25684515272626807,0.7972983121515752,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.8578064994411874
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),0.2363113196264032,3.2361137965487967,0.0012116906835175222,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.0031850155109603437
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),0.7535207355095808,10.128763348633344,4.118247194107881e-24,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.564875128739144e-22
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),0.3996699620335251,3.6510760714358024,0.0002611438701262043,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.0008190421381230954
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),0.27215700524234376,2.387308515913144,0.01697224166933898,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.031228924671583724
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),0.6308062586141594,4.719726330621451,2.361621505871094e-06,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.1449315060744478e-05
(V1L2/3->V1L2/3) - (HVAL5->V1L5),1.093683553175076,8.976559613393933,2.7936544565466925e-19,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,6.4254052500573926e-18
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),0.7611090902226576,7.183583278373085,6.790763925991528e-13,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.102500496219801e-11
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),0.7478752148385485,6.4285588189697815,1.2881940708572019e-10,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.6160980161663079e-09
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),0.5798635586971603,5.378627495375765,7.505582126565163e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,4.4239137960849445e-07
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.2202807885488571,-2.460285678243888,0.01388264612827471,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.026424898837267726
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),-0.7234459155570362,-5.860669923462949,4.610035235999334e-09,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.8556658337448975e-08
(V1L2/3->V1L4) - (V1L2/3->HVAL4),-0.3385037064662485,-2.200244070477716,0.027789583073809895,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.04845806531092141
(V1L2/3->V1L4) - (V1L2/3->HVAL5),-0.7717782796624594,-4.590194327233444,4.4283353212031364e-06,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.952028311127405e-05
(V1L2/3->V1L4) - (V1L4->V1L2/3),-0.05316722274342198,-0.41222239978276665,0.6801764204246836,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.7631247643789134
