contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),0.632241462867538,1.5702818223387127,0.11634956120700891,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.352884383441038
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-0.6752891500996977,-2.3963719819057996,0.0165582765144307,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.11425210794957183
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),0.674763755212573,1.4835763728470364,0.13792134135772657,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.3845079819669953
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),0.050331379813726325,0.07819913899967618,0.937669646900711,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9765917831871556
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.2945391105810849,-0.5564675376553752,0.5778912802383755,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.7730651719744047
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),0.5641538682773698,1.0992321832311556,0.27166680428541606,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.5513238086968737
(V1L2/3->V1L2/3) - (V1L4->V1L4),-0.020858224721940835,-0.046283852018625456,0.9630840097381992,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9844858766212703
(V1L2/3->V1L2/3) - (V1L4->V1L5),-0.6009367727759352,-1.3747257168798308,0.16921649523421436,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.42847479527195564
(V1L2/3->V1L2/3) - (V1L5->V1L4),2.1968455760012064,2.811912304597234,0.004924792826587867,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.07153909579675007
(V1L2/3->V1L2/3) - (V1L5->V1L5),0.1451145334789721,0.35071373647446924,0.7258031191482824,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.8879218645550644
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.22721424057175343,0.6592994144752563,0.5097035183355988,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.7246874199327504
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),-0.16610742071446752,-0.25335239634142087,0.7999959100218025,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9355884371441419
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.15948938376203833,-0.44786908643799445,0.6542476799204398,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.8207834529910971
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),1.16480382726777,4.018881716679162,5.847501537384068e-05,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.0040347760607950065
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),0.03703117358760745,0.10084844826918522,0.9196707666974363,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9679822259111612
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.07870367670031461,-0.23716604860588408,0.8125279742590714,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9383168238305595
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),0.25591680371166753,0.65456691210202,0.5127466332446187,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.7246874199327504
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.14865279012027194,-0.30890154446565704,0.757396421914123,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.9139088146947549
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),-0.6428219205310961,-1.0763394389984817,0.2817754763764048,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.5639610156155324
(V1L2/3->V1L2/3) - (HVAL5->V1L5),1.5439328822133398,2.015497039718526,0.043852595924901976,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.21613065134415974
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),1.081473060046976,2.453608788786941,0.01414307522866568,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.10914734095238436
