variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->V1L2/3,20,0,2670,3272,0,0,0,20511,44349,800.9917216881,64860
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->V1L4,19,0,2090,2454,0,0,0,13791,32623,366.11147673639994,46414
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->V1L5,20,0,1185,1330,0,0,0,11845,14652,384.40512039379996,26497
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->HVAL2/3,15,0,1169,1525,0,0,0,4610,18075,123.44926199,22685
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->HVAL4,14,0,856,1013,0,0,0,3202,10900,72.6431462341,14102
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L2/3->HVAL5,13,0,429,506,0,0,0,2444,4028,68.442558585,6472
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->V1L2/3,6,0,1784,3276,0,0,0,3107,16451,66.88915611499999,19558
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->V1L4,6,0,1865,2438,0,0,0,4503,10073,110.03981703,14576
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->V1L5,6,0,1138,1320,0,0,0,3365,4636,108.2200639564,8001
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->V1L4,6,0,1769,2447,0,0,0,3980,10686,80.3828986718,14666
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->V1L5,6,0,1145,1296,0,0,0,3721,4280,153.616073447,8001
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->V1L2/3,36,0,2626,3276,0,0,0,12670,104893,253.8228798181,117563
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->V1L4,28,0,1882,2454,0,0,0,5122,63511,75.6563708405,68633
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->V1L5,59,0,1172,1351,0,0,0,12966,66476,257.0167112381,79442
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->HVAL2/3,45,0,1264,1525,0,0,0,19194,48691,812.4728689247,67885
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->HVAL4,38,0,893,1013,0,0,0,13326,24937,443.7451559935,38263
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL2/3->HVAL5,62,0,439,506,0,0,0,13451,17560,481.6781423265,31011
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->HVAL2/3,12,0,1233,1525,0,0,0,5899,12092,197.8742915377,17991
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->HVAL4,12,0,893,1011,0,0,0,5266,6729,190.80165570780002,11995
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL4->HVAL5,11,0,434,484,0,0,0,2992,2477,165.441953573,5469
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
