contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.025745158100929363,-8.379079256507255,5.33433462742842e-17,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.0015485422926829e-16
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-0.055558339477624556,-17.2624089748105,9.02653628405538e-67,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.190258363331844e-66
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.1352175050259168,-34.86370403524318,2.639650520692014e-266,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.2142392395183264e-264
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),-0.13653901380113415,-30.58782988976489,1.776803281342419e-205,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.448863396116752e-204
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.15277252850277678,-28.233267283412765,2.2845237759700692e-175,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,4.850219708982609e-174
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),-0.06987552647727778,-11.940523551337655,7.27637319972662e-33,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.0919572949214034e-32
(V1L2/3->V1L2/3) - (V1L4->V1L4),-0.03105173119251556,-6.217164780197698,5.062180892221381e-10,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.983782435732005e-10
(V1L2/3->V1L2/3) - (V1L4->V1L5),-0.03314330483012112,-5.76383496777618,8.222381949750895e-09,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.2333572924626344e-08
(V1L2/3->V1L2/3) - (V1L5->V1L4),-0.11393492582083638,-21.713128578432773,1.5419609741445386e-104,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.636850880245741e-103
(V1L2/3->V1L2/3) - (V1L5->V1L5),-0.07505728382253551,-14.4764058700242,1.7079747084049512e-47,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.28534692693022e-47
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),-0.15201892493252317,-51.076459064741705,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),-0.13647938068014998,-32.83858350356478,1.6577777489012218e-236,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.536380838524817e-235
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.1316838283096738,-42.46525370521626,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.06799195241563065,-27.0353753064846,5.675393651431342e-161,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,9.790054048719065e-160
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-0.08375890826976917,-29.971030633493896,2.3415003569279043e-197,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.462540985121015e-196
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.11984519429430902,-42.56965268160792,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.08316858279054497,-23.34602208439163,1.5125443257860458e-120,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.8150531909432552e-119
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.07360443448818307,-20.878054073770276,8.477469710641624e-97,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.799272133790295e-96
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),-0.05812971401797939,-13.446187501162479,3.2415972588735664e-41,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.0650962422013146e-40
(V1L2/3->V1L2/3) - (HVAL5->V1L5),-0.09973818228467266,-20.9353308462598,2.552866663508302e-97,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.429624824580315e-96
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),-0.11497380671023791,-35.41483640523778,1.0093219329050504e-274,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.571457069635878e-273
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),-0.09596614719648698,-27.855469282331267,9.24757259298142e-171,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.8230928826163372e-169
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),-0.085123755193172,-23.767579453694115,7.230757617409607e-125,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,9.978445512025258e-124
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.029813181376695187,-8.37093044356116,5.716504676990357e-17,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.0660508721954988e-16
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),-0.10947234692498745,-26.267939438684802,4.459463157848518e-152,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.240069597448182e-151
(V1L2/3->V1L4) - (V1L2/3->HVAL4),-0.11079385570020478,-23.487406766653752,5.485908492520013e-122,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.210051161597731e-121
(V1L2/3->V1L4) - (V1L2/3->HVAL5),-0.12702737040184742,-22.595116802215287,4.840361836308581e-113,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.566416111754868e-112
(V1L2/3->V1L4) - (V1L4->V1L2/3),-0.044130368376348414,-7.297341493592541,2.935091804653237e-13,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.063033363026833e-13
(V1L2/3->V1L4) - (V1L4->V1L4),-0.005306573091586206,-1.0161579571310246,0.30955417355029463,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.3286036611533897
(V1L2/3->V1L4) - (V1L4->V1L5),-0.007398146729191763,-1.243586027872629,0.21365196111902104,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.23034352058144456
(V1L2/3->V1L4) - (V1L5->V1L4),-0.08818976771990701,-16.138883450360396,1.359789502295926e-58,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.950035233956955e-58
(V1L2/3->V1L4) - (V1L5->V1L5),-0.04931212572160614,-9.124324966964751,7.218469689520516e-20,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.4649247311085753e-19
(V1L2/3->V1L4) - (HVAL2/3->V1L2/3),-0.1262737668315938,-37.75811843594183,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L4) - (HVAL2/3->V1L4),-0.11073422257922061,-25.012955587076554,4.419347054126043e-138,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.776332149659933e-137
(V1L2/3->V1L4) - (HVAL2/3->V1L5),-0.10593867020874442,-30.655842955374418,2.2089109488529645e-206,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.620742773542727e-205
(V1L2/3->V1L4) - (HVAL2/3->HVAL2/3),-0.04224679431470127,-14.363525786035744,8.76520385531401e-47,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,3.1418133299567096e-46
(V1L2/3->V1L4) - (HVAL2/3->HVAL4),-0.05801375016883981,-18.22196367041094,3.45529737539355e-74,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.4452873733554354e-73
(V1L2/3->V1L4) - (HVAL2/3->HVAL5),-0.09410003619337966,-29.389409680200938,7.49987849040273e-190,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.724972052792628e-188
(V1L2/3->V1L4) - (HVAL4->HVAL2/3),-0.0574234246896156,-14.818310400684055,1.1155523391696252e-49,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,4.336513318462205e-49
(V1L2/3->V1L4) - (HVAL4->HVAL4),-0.047859276387253714,-12.459499928246982,1.2414663273181862e-35,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,3.807163403775771e-35
(V1L2/3->V1L4) - (HVAL4->HVAL5),-0.032384555917050015,-7.0642854516863,1.6144456916126697e-12,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.7336626434668518e-12
(V1L2/3->V1L4) - (HVAL5->V1L5),-0.07399302418374328,-14.791970430900017,1.6505025876289417e-49,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.2402563587066836e-49
(V1L2/3->V1L4) - (HVAL5->HVAL2/3),-0.08922864860930854,-24.876519048766937,1.3359564902164223e-136,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.940652585788066e-135
(V1L2/3->V1L4) - (HVAL5->HVAL4),-0.07022098909555761,-18.63805032303592,1.5789141915748556e-77,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.177784640201784e-76
(V1L2/3->V1L4) - (HVAL5->HVAL5),-0.059378597092242635,-15.253851384674473,1.5520209298597092e-52,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,6.693090260019997e-52
(V1L2/3->V1L5) - (V1L2/3->HVAL2/3),-0.07965916554829226,-18.628562674579612,1.885192498859916e-77,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.3692450781193075e-76
(V1L2/3->V1L5) - (V1L2/3->HVAL4),-0.08098067432350958,-16.82393954947814,1.6295327958048119e-63,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,8.649058685425539e-63
(V1L2/3->V1L5) - (V1L2/3->HVAL5),-0.09721418902515223,-17.046387980638116,3.718117466018484e-65,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.0524008412422033e-64
