contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),0.0032791740578308626,0.3035264857051454,0.761488666225952,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8995011099589624
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.01636366428837773,2.0352716975481218,0.04182354231937117,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.26754095652178117
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.015728190878123563,-1.7870836280513085,0.07392397318821042,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.3643395821418942
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),-0.006094933764047386,-0.49230497102494525,0.6225037664923136,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8553183464731763
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),0.02162348985440147,1.8662011939271657,0.06201322211503265,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.3492989653826329
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),-0.023005151917608668,-1.3862703137359456,0.16566437805228285,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.524942864297286
(V1L2/3->V1L2/3) - (V1L4->V1L4),-0.01114140018003832,-0.8366000081297591,0.4028174410265701,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.7614905049543379
(V1L2/3->V1L2/3) - (V1L4->V1L5),-0.006278630127224439,-0.42797699233788744,0.6686678712363607,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.876385457570213
(V1L2/3->V1L2/3) - (V1L5->V1L4),-0.006272212565780586,-0.3771395832377864,0.706069876202364,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8980427918518546
(V1L2/3->V1L2/3) - (V1L5->V1L5),-0.00778861418460509,-0.5593660189754219,0.5759119475584007,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8389542595409143
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.006551289683794548,0.7607401209935225,0.44681230583264736,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.7729416768308124
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),0.010071092704149692,0.6807279238769393,0.49604366392820565,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.7913547449683194
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),0.028310416733294118,3.1311423505509595,0.0017412773513973666,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.03696865761428255
