contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),0.4925507539381876,3.8604973885861673,0.00011315645018985675,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.00041093658226842714
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.40317911069899715,3.0104610522442283,0.0026085139971715895,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.006728503394573445
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),0.15568681627597983,0.7628638898388955,0.44554457356497135,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.5425922104564945
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),0.20072659833697043,0.7894937551133802,0.4298234782833765,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.5343751351631167
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),0.5948830325841852,2.1234288626820943,0.03371793072793048,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.06507796420215953
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),0.7476928200555641,3.4167615167146597,0.0006337076618406656,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.0019011229855219968
(V1L2/3->V1L2/3) - (V1L4->V1L4),0.2354822767969046,1.3454301487869287,0.17848636459969092,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.2634344204786882
(V1L2/3->V1L2/3) - (V1L4->V1L5),0.34230363256373475,1.7770484959706327,0.07556026108091374,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.12716239059958653
(V1L2/3->V1L2/3) - (V1L5->V1L4),0.539552167110388,2.677331457334793,0.007421117910844056,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.01735786901180474
(V1L2/3->V1L2/3) - (V1L5->V1L5),0.6438655516143099,3.536098329993597,0.0004060835135078291,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.0012725483559723994
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.7535833901769144,5.625908650262789,1.845339881930927e-08,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.212651922411752e-07
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),0.6268047536184655,3.352727926196137,0.0008001932481929508,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.002349503579800579
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.07348184389632649,-0.5469048278535569,0.5844441187324789,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.6618415380076894
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-1.687561381179037,-15.1973546978489,3.681916230017003e-52,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,2.540522198711732e-50
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-1.0078789367871708,-7.799725788647149,6.204183955246981e-15,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,6.849419086592667e-14
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),0.11963644169912521,0.9331758578504873,0.3507291775381944,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.4481539490765817
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.5551578359406532,-3.2806986713152497,0.0010355030821468398,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.0029463799038404927
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.43144485967756485,-2.5873260345231572,0.009672402335318561,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.021586834420600748
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),0.12050852053793255,0.6082722466317398,0.5430069248855722,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.6297055095311678
(V1L2/3->V1L2/3) - (HVAL5->V1L5),-0.16377805953218783,-0.8085447659060384,0.41877704661034015,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.5229975785721895
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),0.7322005122178478,4.515674047598831,6.311568319540673e-06,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,2.8096658970858478e-05
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),-0.19053423678913523,-1.0979497211551241,0.27222644479346336,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.3594952093923248
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),-0.3012699137834726,-1.8625407813846266,0.06252690266614433,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.10991990532392253
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.08937164323919054,-0.5986282034113521,0.5494208443058893,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.6344776277339977
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),-0.3368639376622077,-1.5706014232772016,0.11627525917064951,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.1823407473357913
(V1L2/3->V1L4) - (V1L2/3->HVAL4),-0.2918241556012173,-1.1110024082736614,0.2665673126925613,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.35651771707713187
