contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.1752752711524102,-0.24154485164491324,0.8091328587397517,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.8655839884192692
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-2.015149326742362,-4.046080080070541,5.208242251405797e-05,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.0014501134662583235
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),1.1252457437482206,1.3512701507158191,0.17660891009254256,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.31651986484118017
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),1.9823395644454864,1.6160193104008944,0.10609013821829091,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.2323629058778998
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-1.4905691241939174,-1.5605946787539027,0.11861941509707674,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.2518160935197009
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),0.8344646334544381,0.8724988256300453,0.38293630854792804,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.5476187624830473
(V1L2/3->V1L2/3) - (V1L4->V1L4),-0.5759805177444908,-0.7939090708234601,0.4272483686209383,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.5955583320170655
(V1L2/3->V1L2/3) - (V1L4->V1L5),-2.2122993819607246,-2.8316362850150254,0.004631049346164523,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.028403769323142408
(V1L2/3->V1L2/3) - (V1L5->V1L4),3.24929876221351,2.637890546396642,0.008342350314754403,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.04366767793444718
(V1L2/3->V1L2/3) - (V1L5->V1L5),1.5362968379690858,1.7582948896435928,0.07869734677499401,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.19889179283398503
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),0.5921742263278638,0.9334202235452667,0.3506030426490566,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.5183866059037228
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),-1.338152196746574,-1.1465954369612597,0.25154886323121733,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.41573345060967654
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-1.3700462463069834,-2.059260116561286,0.03946932697096689,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.1255282398690688
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),1.4887845415660992,2.9320805287646565,0.003366994283651598,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.02268081680078224
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-1.0210941088841512,-1.473943686361308,0.1404967540246159,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.2809935080492318
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.6120606363390237,-1.0156365699793901,0.30980248352949813,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.4803678958097836
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),0.4239513504826978,0.64034811077442,0.5219463092459513,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.663312562662291
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),-0.7746788252730257,-1.063367369828239,0.2876153842889241,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,0.4588546015245263
