bins,mean,std,ci_low,ci_high,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs,proj_hva,quantity_name,variable_name
"(-0.4, -0.3]",-1.2597685852663185,0.17162120772616277,-1.626838859610782,-0.964844017474028,10.0,0.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,0.40845152999999995,18.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.3, -0.2]",-0.41436881474744863,0.21676424138962613,-0.8237686881419913,0.035772574301035975,25.0,14.0,519.0,0.0,15.0,14.0,15.0,723.0,0.0,18.799028544000002,723.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.2, -0.1]",-0.30974050315457746,0.058607990233208056,-0.41955444263876557,-0.18939251031752513,36.0,205.0,3928.0,0.0,232.0,214.0,232.0,9922.0,0.0,283.94705573249996,9922.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.1, -2.22e-16]",-0.19671135551643656,0.0337152055320657,-0.26748797427479976,-0.13390962825620759,36.0,736.0,5943.0,0.0,945.0,850.0,945.0,33384.0,0.0,1018.2347536432,33384.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-2.22e-16, 0.1]",0.09883292158986169,0.04784958021203257,0.004166423744860111,0.19544785548780694,36.0,664.0,5534.0,0.0,881.0,767.0,881.0,21646.0,0.0,721.4297788728,21646.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.1, 0.2]",0.34069271335434675,0.07741713697424564,0.1912121442689964,0.4923420540867965,36.0,305.0,3713.0,0.0,392.0,337.0,392.0,7791.0,0.0,267.558393942,7791.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.2, 0.3]",0.9553187772006193,0.18051087376630037,0.5967158755980514,1.3164537754092704,36.0,135.0,1817.0,0.0,182.0,145.0,182.0,2574.0,0.0,86.91281811900001,2574.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.3, 0.4]",0.7350536980482085,0.26587898061227155,0.24441124126171448,1.2934848010426179,36.0,46.0,693.0,0.0,54.0,47.0,54.0,823.0,0.0,29.728848557,823.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.4, 0.5]",2.380826469019228,0.7058912291424828,1.1078943761838946,3.849147572192173,29.0,27.0,220.0,0.0,32.0,27.0,32.0,256.0,0.0,8.926083349999999,256.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.5, 0.6]",1.6601273871005242,0.9621559523370091,-0.026491628777166546,3.6325151648664074,20.0,8.0,78.0,0.0,9.0,8.0,9.0,86.0,0.0,3.18426,86.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(0.6, 0.7]",2.745614384353914,2.6000153670835244,-1.4600378470815352,8.44928295815587,9.0,2.0,12.0,0.0,2.0,2.0,2.0,14.0,0.0,0.49585921,14.0,V1->V1,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.5, -0.4]",-0.510435425023721,0.06315038904779553,-0.6339641688698769,-0.3815611657831654,17.0,0.0,25.0,0.0,0.0,0.0,0.0,34.0,0.0,0.859614686,34.0,HVA->HVA,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.4, -0.3]",-0.34197369648525694,0.13377793316320105,-0.5665769804838202,-0.04758645194883414,55.0,3.0,194.0,0.0,3.0,3.0,3.0,509.0,0.0,12.818223075,509.0,HVA->HVA,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.3, -0.2]",-0.09677070911566826,0.0921370739708289,-0.2646158159513407,0.08608090085900882,92.0,49.0,830.0,0.0,59.0,52.0,59.0,3241.0,0.0,94.472855029,3241.0,HVA->HVA,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.2, -0.1]",-0.10027739917334812,0.044254960504874624,-0.1829436261561054,-0.008221458474733347,99.0,285.0,2252.0,0.0,359.0,328.0,359.0,14928.0,0.0,481.9760776146,14928.0,HVA->HVA,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
"(-0.1, -2.22e-16]",-0.11043533480971189,0.028166373727616125,-0.16311884711360053,-0.05453254639178913,99.0,624.0,2596.0,0.0,836.0,778.0,836.0,30495.0,0.0,1077.8088838934,30495.0,HVA->HVA,SYNAPSE_DENSITY,IN_SILICO_SIG_CORR_CVT
