effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),0.1216219180482179,0.05589854629865106,2.1757617344541367,0.029573081346782396,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv,-0.0014052119335097393,0.0006771984231187634,-2.075037220314526,0.037983085330325295,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.L,0.3546816209327064,0.1002382480864185,3.538386072219901,0.0004025809657096436,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.Q,0.25929356688398825,0.11143719900459223,2.3268133908615467,0.019975199391272742,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.C,-0.673747725378533,0.12194272922261495,-5.525116008749973,3.292679723836942e-08,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva.L,-0.0013958389328972204,0.001168852019187991,-1.1941964508620335,0.23240113109927063,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva.Q,-0.000805190445148258,0.001354231166151718,-0.5945738550947294,0.5521283607563543,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva.C,0.001912241929831259,0.001517449319556414,1.2601685639097666,0.20760856056300225,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.47263132719806994,,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),-0.13098722406033336,0.1480558083011424,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),-0.15056384551026117,0.27313322500066683,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),-0.37283101540378083,0.1526633931436747,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),-0.2711511030738234,0.23154773874239123,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.28938599921487185,0.23170771217762615,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),0.13218476160721757,0.4529402143117773,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.1342379471652391,0.15008798243161087,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.2883872786076716,0.19783583600093235,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),1.0271365668663484,0.15495985451108782,,,DELTA_ORI_IV,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.19146599244529366,0.3520199969520669,,,DELTA_ORI_IV,SYNAPSE_DENSITY
