effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-5.840756599548104,0.07213148176714071,-80.9737503854918,0.0,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,in_silico_sig_corr_cvt,1.0515150560621769,0.03174040179979379,33.128599401315974,1.1517422406939288e-240,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.L,-1.7497671967010557,0.1401333652330233,-12.486442424267937,8.85243148152806e-36,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.Q,-0.3425969695458169,0.1442617740768153,-2.3748284792573933,0.01755710660079562,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.C,0.4302736104860252,0.1482759348804421,2.9018438550595786,0.0037097339831939475,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.L,-0.17161858323798138,0.048167416628916764,-3.5629600931296803,0.0003666964417847025,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.Q,-0.1066773919018592,0.0634808589529289,-1.6804654767031515,0.0928667858725286,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
fixed,cond,,,in_silico_sig_corr_cvt:proj_hva.C,-0.051461037784273085,0.07576033078361108,-0.6792609965135664,0.49697250498116097,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.9965457983464496,,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),0.39423404825361547,0.16777071504133978,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.5538862055307523,0.19288729888649847,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),0.5158083011261881,0.16762966751290434,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),1.2474357163585432,0.19035371523909228,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),0.10595622938282433,0.16807789385634497,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->HVA,(Intercept),0.7658585667879338,0.19202503747181351,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.8101740212421682,0.1695218940432034,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),-2.464054778104219,0.2301059458889769,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.11808810911351486,0.16807556174249894,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.31027729656660435,0.16864550612711385,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),-0.8987527401450156,0.16982122845066247,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.7543037476422048,0.20166154189110908,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->V1,(Intercept),0.17581334517159444,0.16796368866795436,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->HVA,(Intercept),-3.0285541687035393,0.2471986922819228,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,256443:V1->V1,(Intercept),0.09863619292074659,0.16808334662146332,,,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL
