effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-5.210959864797498,0.07211948759117151,-72.25453256597176,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt,-0.06398581441455063,0.0006707556673867927,-95.39362472155315,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.L,-2.395798629446837,0.13992607392366344,-17.121888453426223,1.0191484326152403e-65,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.Q,-0.29429051352675933,0.14423751455130082,-2.04031880639547,0.041318582883086714,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva.C,0.7076988550947517,0.14842500098303368,4.768056933856097,1.8601122283495348e-06,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva.L,0.08030460088273664,0.0011621291101279994,69.10127298497127,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva.Q,-0.026393583363405186,0.0013414894752775924,-19.67483446558058,3.543318783138644e-86,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva.C,-0.016076312897470735,0.0014996281718168082,-10.72019931313653,8.182681296184167e-27,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.9921973200758872,,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),0.7096015494294268,0.16713701407379664,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.6695932544209342,0.19199741698832837,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),0.5534347811562298,0.16693851202405244,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),1.3007241623445058,0.18936927480554155,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),0.3561721191034405,0.16741572984090472,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->HVA,(Intercept),0.8556184407516441,0.19105710259067146,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.6639619954186173,0.16898544583563502,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),-2.397546113183404,0.22915026438328734,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.21368761991541693,0.16738276455293782,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.35434509055922886,0.16782685201065164,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),-0.5785379554412917,0.16898807748296052,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),-0.6907113004830271,0.20081199520557916,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->V1,(Intercept),0.01185174533048171,0.1672666389598803,,,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
