effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-0.04880389005353123,0.04461536490499025,-1.0938807775630788,0.2740072703902891,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_similarity_cvt,1.828902812454445,0.14794818772308596,12.361779083618078,4.2074059691066887e-35,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.L,0.3352519863775643,0.08285153010337142,4.0464187681178645,5.200716044565968e-05,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.Q,0.10058330588024647,0.0886686637705719,1.1343726363183213,0.25663827222669,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,proj_hva.C,-0.692802682965455,0.09467315293936869,-7.317836804369925,2.5200005685564617e-13,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_similarity_cvt:proj_hva.L,-0.10019579005976574,0.25089484747394675,-0.39935371757752103,0.6896325913160861,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_similarity_cvt:proj_hva.Q,0.505855102155044,0.295864448607023,1.7097529106206932,0.08731157404154007,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
fixed,cond,,,readout_similarity_cvt:proj_hva.C,-0.2988364517862286,0.3348944531522993,-0.8923302520341455,0.3722159437737048,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_pars,cond,pre_nucleus_id:proj_hva,,sd__(Intercept),0.5230498655984492,,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->V1,(Intercept),-0.06929427377724653,0.13610880324189872,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,189149:V1->HVA,(Intercept),0.00887754878194493,0.23603509191870883,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->V1,(Intercept),-0.2744104778950414,0.1384242068866746,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,222998:V1->HVA,(Intercept),-0.4855526821251838,0.2223412576417001,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->V1,(Intercept),-0.24564269271130923,0.15756983562875015,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,223037:V1->HVA,(Intercept),-0.3010263243125072,0.2399902406005901,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->V1,(Intercept),-0.31241691256419235,0.2117265133228931,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,224565:V1->HVA,(Intercept),0.045507216744390094,0.47251394343198216,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,225498:V1->V1,(Intercept),0.17089465293140868,0.13783797170503287,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,230236:V1->V1,(Intercept),-0.5012762350375384,0.19542424112805157,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->V1,(Intercept),1.0305220823687578,0.14309188627433297,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,236197:V1->HVA,(Intercept),0.3541213829603037,0.32009362057916063,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->V1,(Intercept),-1.0104614947620654,0.19606744192690523,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,255217:V1->HVA,(Intercept),0.1424282202509614,0.49221981259537784,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256443:V1->V1,(Intercept),-0.7840302259990845,0.19077887779505698,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->V1,(Intercept),-0.3506164482459258,0.13738331500397902,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,256576:V1->HVA,(Intercept),-0.4063986106829099,0.18924140436074338,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,258307:V1->V1,(Intercept),0.4780661808056742,0.11831072364753821,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,258307:V1->HVA,(Intercept),0.10120171968748391,0.24184805791326147,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
ran_vals,cond,pre_nucleus_id:proj_hva,259167:V1->V1,(Intercept),-0.3431504062633806,0.1751563705771068,,,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY
