variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->V1L2/3,11,0,1291,1612,0,0,0,5749,11878,235.014850903,17627
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->V1L4,9,0,937,1139,0,0,0,3768,6976,107.736129221,10744
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->V1L5,11,0,651,681,0,0,0,3954,3854,142.794725738,7808
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->HVAL2/3,6,0,393,533,0,0,0,1078,2087,33.17472515,3165
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L2/3->HVAL5,8,0,206,238,0,0,0,726,1157,22.168305639,1883
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->V1L2/3,14,0,1090,1622,0,0,0,2786,19848,56.670454749,22634
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->V1L5,24,0,604,731,0,0,0,3191,14286,68.600094437,17477
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->HVAL2/3,9,0,433,535,0,0,0,1791,2933,79.723840825,4724
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->HVAL4,9,0,306,362,0,0,0,1280,1948,47.721448143,3228
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL2/3->HVAL5,19,0,210,239,0,0,0,2297,2204,95.0480019,4501
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->HVAL2/3,7,0,402,533,0,0,0,987,2714,29.857607686999998,3701
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->HVAL2/3,12,0,428,535,0,0,0,1777,4568,50.938513054000005,6345
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVAL5->HVAL5,14,0,210,228,0,0,0,2007,1280,91.84116325,3287
