contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.00023390608484286646,-0.2680024981632029,0.788697395799568,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.8202452916315507
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-0.0040797526436719,-4.82699799376832,1.3860651737453493e-06,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,7.722363110866946e-06
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),0.0003924211495538331,0.2760891128471036,0.7824796225091467,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.8202452916315507
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.0011257347537502722,-0.6686788212000581,0.5037003803168374,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.6044404563802048
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),-0.007946960369897454,-8.269777160349195,1.3420962663668944e-16,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,1.0468350877661777e-14
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.005722981009024577,-6.157889750627612,7.372064575922302e-10,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,1.1500420738438792e-08
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.005147156114395615,-5.029581212221591,4.915522709864852e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,3.1950897614121537e-06
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-0.006848133539891745,-5.66416244622997,1.4774439188221371e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,1.6483619748853272e-07
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.00548086810509628,-5.663947225292188,1.4792992082304217e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,1.6483619748853272e-07
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.0039724421647620925,-2.9095914446317233,0.003619014986212221,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.00910590867498559
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),-0.007697142496977526,-7.298258968315315,2.915151514133253e-13,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,7.579393936746457e-12
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),-0.004442915521364324,-4.498709394274823,6.836723691669274e-06,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,3.555096319668023e-05
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.0038458465588290342,-4.053329172891476,5.049387482226657e-05,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.00021880679089648846
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),0.0006263272343966995,0.42168182705406004,0.6732572708115074,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.7502009589042511
(V1L2/3->V1L4) - (V1L2/3->HVAL5),-0.0008918286689074059,-0.5131772156299264,0.6078273623048804,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.6972137391144216
(V1L2/3->V1L4) - (HVAL2/3->V1L2/3),-0.007713054285054588,-7.323099879551699,2.42307312727676e-13,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,7.579393936746457e-12
(V1L2/3->V1L4) - (HVAL2/3->V1L5),-0.005489074924181711,-5.357690678589674,8.429238935171647e-08,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,7.305340410482094e-07
(V1L2/3->V1L4) - (HVAL2/3->HVAL2/3),-0.004913250029552749,-4.424426063712484,9.669901321592858e-06,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,4.714076894276519e-05
(V1L2/3->V1L4) - (HVAL2/3->HVAL4),-0.006614227455048878,-5.152849128725001,2.565583680609738e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,2.001155270875596e-06
(V1L2/3->V1L4) - (HVAL2/3->HVAL5),-0.005246962020253413,-4.952895880952529,7.311710214266774e-07,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,4.3870261285600645e-06
(V1L2/3->V1L4) - (HVAL4->HVAL2/3),-0.0037385360799192255,-2.611159671778259,0.009023575175544049,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,0.020668242172079253
(V1L2/3->V1L4) - (HVAL5->HVAL2/3),-0.00746323641213466,-6.55027400060367,5.743161020127438e-11,DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,1.1199163989248506e-09
