variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->V1L2/3,11,213,1291,0,256,238,256,5987,0,251.606578653,5987
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->V1L4,9,77,937,0,86,78,86,3846,0,111.933893861,3846
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->V1L5,11,155,651,0,332,243,332,4197,0,164.374317708,4197
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->HVAL2/3,6,43,393,0,47,45,47,1123,0,35.83010025,1123
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L2/3->HVAL5,8,38,206,0,51,40,51,766,0,24.672906439000002,766
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->V1L2/3,14,79,1090,0,89,83,89,2869,0,59.367587989,2869
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->V1L5,24,66,604,0,86,75,86,3266,0,71.797813407,3266
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->HVAL2/3,9,76,433,0,91,82,91,1873,0,87.110104885,1873
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->HVAL4,9,31,306,0,36,35,36,1315,0,50.733879642999995,1315
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL2/3->HVAL5,19,54,210,0,79,69,79,2366,0,101.0792128,2366
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->HVAL2/3,7,41,402,0,45,44,45,1031,0,32.367111217,1031
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->HVAL2/3,12,66,428,0,82,75,82,1852,0,54.944733284,1852
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVAL5->HVAL5,14,55,210,0,74,69,74,2076,0,97.94335095,2076
