effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-4.884692270294933,0.049816813180113786,-98.0530860662287,0.0,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,delta_ori_iv,-0.001111928884954615,0.0001633895068109531,-6.805387363346121,1.0077770142891224e-11,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.L,0.6085303468386883,0.23003977650159763,2.645326630433681,0.008161209609998993,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.Q,1.4924031273817693,0.20370706550313786,7.32622171791474,2.367320174394861e-13,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.C,-1.2173417208935247,0.2271554197144788,-5.35906967319403,8.365159260973056e-08,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^4,0.03056289818140238,0.21466440911353338,0.1423752465889119,0.8867836135502962,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^5,2.2310332620249858,0.21432990498418708,10.409341907698732,2.247700490307946e-25,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^6,0.6195520471486532,0.22617442141370392,2.739266638889319,0.006157641140908094,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^7,-0.5876854069937565,0.22167355350026466,-2.651129995951704,0.008022295785106858,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^8,0.0502691850810436,0.22844568319795527,0.22004874146596937,0.825833194686992,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^9,0.21116202672482326,0.22232530215180513,0.9497885516451047,0.34221970414708835,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^10,-0.6764138071650583,0.2169229743793282,-3.118221152464142,0.001819462216733384,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^11,-0.737971984337982,0.2205298529299387,-3.346358665429447,0.0008188040930694573,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^12,1.5678545474962995,0.22536309855674783,6.957015401088408,3.475569771369963e-12,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^13,0.5210366065532841,0.22315967344555224,2.3348152401755935,0.01955307470108859,DELTA_ORI_IV,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^14,-0.03633740115353591,0.22436711604089263,-0.16195511086799877,0.8713412034317051,DELTA_ORI_IV,LD_DENSITY_CONTROL
