effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),0.0038363167453874217,0.04957633759052751,0.07738201189997589,0.938319650294726,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv,-0.0014893436096433757,0.0008249357208208501,-1.8054056480441993,0.07101122798813442,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer.L,-0.3432380237774284,0.21538926327093774,-1.593570721980092,0.11103221645482994,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer.Q,-0.405194318631839,0.18915251509900222,-2.1421566528986453,0.03218087831951629,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer.C,0.86809999482314,0.2112329307464905,4.109681155089323,3.9620579489856013e-05,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^4,-0.4629777226964964,0.20310825936515045,-2.279462805420185,0.022639568559501177,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^5,-0.5911140901173705,0.19493547603174283,-3.032357691634923,0.0024265148157429383,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^6,0.5768156651505135,0.21700771323633475,2.6580422260029337,0.007859604480614728,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^7,-0.07984107301122002,0.23628174899521384,-0.3379062214950732,0.7354338589794764,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^8,0.11873740632593581,0.2221535767593803,0.5344834328485427,0.5930071086292285,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^9,-0.508488989443456,0.22233352030255976,-2.287055000755105,0.022192612974990054,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^10,1.1134062713709214,0.20963245541669656,5.311230406368852,1.0888755964480627e-07,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^11,-0.15261275170603852,0.20907607352794932,-0.7299388645044419,0.4654275548019977,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^12,0.21088209257404916,0.22214515286659947,0.9492986448400524,0.3424687425973176,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^13,-0.42873896933798195,0.2244380291185187,-1.910277732440692,0.05609746327130765,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^14,-0.2724113926689041,0.2408928741442014,-1.1308403938334652,0.25812227493456447,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^15,0.4206177692514885,0.23557143210836315,1.7855211282920072,0.07417682737977226,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^16,0.17479246551931218,0.206794636331683,0.8452466109370373,0.397973162934744,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^17,0.449668818958684,0.1998883767108023,2.24959963334568,0.024474371756509253,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,proj_hva_layer^18,0.39561331219854434,0.17632067174011895,2.243714865047947,0.02485075306097362,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer.L,-0.0018547752280192271,0.0035635547252068685,-0.5204845641627,0.6027258836882504,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer.Q,0.0035902576124617947,0.003119710940667345,1.15083021496017,0.24980209175378948,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer.C,-0.004122138331998934,0.0035141413102352205,-1.1730143918780023,0.24079003437992608,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^4,0.002942822467269552,0.0033777537471906113,0.8712365339590531,0.3836250156951584,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^5,0.004169468545125772,0.003210642650980461,1.2986398669601258,0.19406754957136751,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^6,-0.00610910487001529,0.003597458149335891,-1.6981726031039615,0.08947518977422851,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^7,-0.0017392250756620119,0.004047754809460536,-0.4296764891976762,0.66743098811329,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^8,-0.0025741873051911665,0.003710769045381752,-0.6937072271837771,0.4878658327323168,DELTA_ORI_IV,SYNAPSE_DENSITY
fixed,cond,,,delta_ori_iv:proj_hva_layer^9,0.006609239654763473,0.00376714645656006,1.754441918034333,0.0793548140086474,DELTA_ORI_IV,SYNAPSE_DENSITY
