contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),1.0603596588522073,8.352342471772964,6.692228654192941e-17,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,1.0865030050336775e-15
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),0.7634075156664764,5.802883122957929,6.518423011545745e-09,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,3.101870260666596e-08
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.5835571736434012,-2.879336405374395,0.003985129932137751,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.008441679487854582
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),0.17290878846395796,0.688895718414856,0.49088889401849173,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.58906667282219
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),0.953781026077413,3.510767048694055,0.00044681576388174473,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.0012332115083136155
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),1.1411664096369536,5.271802664236546,1.3509028410324424e-07,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,5.736141294230064e-07
(V1L2/3->V1L2/3) - (V1L4->V1L4),1.1674617219761008,6.504928976363471,7.773009580003206e-11,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,4.989187544374151e-10
(V1L2/3->V1L2/3) - (V1L4->V1L5),1.1544799366904257,6.281008350576235,3.3638407120432484e-10,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,2.063155636719859e-09
(V1L2/3->V1L2/3) - (V1L5->V1L4),1.2012423982180394,6.100110974959194,1.059948497651343e-09,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,5.519731799090013e-09
(V1L2/3->V1L2/3) - (V1L5->V1L5),1.1466207394524925,6.506623869013383,7.685853059271718e-11,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,4.989187544374151e-10
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),1.7124327427747756,14.265592780718412,3.585323874183402e-46,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,2.4738734731865476e-44
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),1.219222622207541,7.482426976392914,7.296243838170762e-14,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,7.192011783339751e-13
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),0.7194993279426011,6.261414919673553,3.814999451544346e-10,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,2.244861211567734e-09
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.3942036111852632,-4.018511354810638,5.8566987323949846e-05,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.00019017045295776657
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),0.2821396435121468,2.5651010206394584,0.010314576962087811,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.019907854835917733
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),1.5762863925395634,14.428251652263219,3.436830378521672e-47,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,3.1618839482399384e-45
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),0.4282741136279173,2.8719536327115964,0.004079428175864208,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.008465580274725725
(V1L2/3->V1L2/3) - (HVAL4->HVAL4),0.717702231865093,4.749403337041382,2.0401768392760543e-06,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,7.930828276622409e-06
(V1L2/3->V1L2/3) - (HVAL4->HVAL5),1.061883354810368,5.91714598165779,3.27575934724658e-09,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,1.5861571576141334e-08
(V1L2/3->V1L2/3) - (HVAL5->V1L5),0.8192982737006154,4.38562744542727,1.156519197716745e-05,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,4.0404974502509065e-05
(V1L2/3->V1L2/3) - (HVAL5->HVAL2/3),0.4262668543784973,2.9464690652735728,0.0032142456777807683,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.007040728627519779
(V1L2/3->V1L2/3) - (HVAL5->HVAL4),0.5469035530742229,3.4936392337395215,0.0004764844440273023,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.001289310848544465
(V1L2/3->V1L2/3) - (HVAL5->HVAL5),0.47723692500122505,3.2559476367886466,0.0011301459205363777,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.0027123502092873063
(V1L2/3->V1L4) - (V1L2/3->V1L5),-0.29695214318573077,-2.0071137674582573,0.044737550621603867,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.07096301133081992
(V1L2/3->V1L4) - (V1L2/3->HVAL2/3),-1.6439168324956084,-7.693502245387316,1.431611935656229e-14,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,1.6463537260046635e-13
(V1L2/3->V1L4) - (V1L2/3->HVAL4),-0.8874508703882492,-3.4137758593115226,0.0006406926111785858,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.0016373255619008304
(V1L2/3->V1L4) - (V1L2/3->HVAL5),-0.10657863277479408,-0.38066638794912616,0.7034508128694033,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,0.7828726788385294
