proj_hva_layer,in_vivo_sig_corr.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,1.0866887008776196,0.046076710002312136,inf,0.9963800087469914,1.1769973930082478,23.584337962130746,5.580642130326993e-123,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,6.696770556392391e-122
V1L2/3->V1L4,0.3731739516769309,0.06152504288329587,inf,0.25258708347838865,0.49376081987547316,6.0653992941506445,1.3162622546716002e-09,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.1590294112118403e-09
V1L2/3->V1L5,0.5934547402257879,0.06504706707967096,inf,0.4659648314496719,0.720944649001904,9.123466543063541,7.275896938648057e-20,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.492430530551067e-19
V1L2/3->HVAL2/3,1.096619867233967,0.10701543151702976,inf,0.8868734756705762,1.306366258797358,10.247305941661862,1.2168798770070523e-24,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,7.301279262042314e-24
V1L2/3->HVAL4,0.7116776581431794,0.14101047230217686,inf,0.43530221098793,0.9880531052984288,5.046984429767014,4.488379129867816e-07,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,7.694364222630541e-07
V1L2/3->HVAL5,1.1449522313393903,0.15647518015530004,inf,0.8382665137605857,1.451637948918195,7.317149149168812,2.532942809209572e-13,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,8.684375345861388e-13
V1L4->V1L2/3,0.4263411744203529,0.11335670939779502,inf,0.20416610659470164,0.6485162422460042,3.7610581383782296,0.00016919609477352376,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.00022559479303136502
V1L4->V1L4,0.4428082489082078,0.10512659134797636,inf,0.23676391604871413,0.6488525817677014,4.212143124116729,2.5295917370245514e-05,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.7943876055368276e-05
V1L4->V1L5,0.45081654030478857,0.10767200132966587,inf,0.2397832955552947,0.6618497850542824,4.18694307468565,2.8273670110370973e-05,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.9915769567582545e-05
V1L5->V1L4,0.44738669711999096,0.10474712671012419,inf,0.24208610128409408,0.6526872929558878,4.2711118784010464,1.94500796171865e-05,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.11201273874984e-05
V1L5->V1L5,0.5417239244051378,0.08684252878535446,inf,0.3715156956594602,0.7119321531508155,6.23800264665366,4.4319316086556036e-10,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.1818484289748275e-09
HVAL2/3->V1L2/3,0.05486489416122212,0.06094653318988246,inf,-0.06458811587352253,0.17431790419596677,0.9002135361873228,0.36800662395373923,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.40146177158589735
HVAL2/3->V1L4,0.023286442235023307,0.09959360645974628,inf,-0.17191343951653504,0.21848632398658163,0.23381462990232424,0.815128891337105,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.8505692779169791
HVAL2/3->V1L5,0.36181578818689175,0.061748655251673876,inf,0.24079064779983092,0.48284092857395255,5.859492594813775,4.642835883086299e-09,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.0129823744915562e-08
HVAL2/3->HVAL2/3,1.07037865909563,0.043696108552514296,inf,0.9847358600681493,1.1560214581231105,24.495972171280222,1.6305971183772465e-132,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.9134330841053915e-131
HVAL2/3->HVAL4,0.8503773812512163,0.05665139722577533,inf,0.7393426830148244,0.9614120794876082,15.01070446439599,6.24805767036665e-51,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,4.99844613629332e-50
HVAL2/3->HVAL5,0.33316796536803883,0.058407531171406325,inf,0.2186913078461819,0.44764462288989576,5.704195309853171,1.1689398434410132e-08,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,2.3378796868820264e-08
HVAL4->HVAL2/3,0.6870187388440946,0.09929669153310498,inf,0.49240079965522554,0.8816366780329636,6.918848233881451,4.553303343373458e-12,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.3659910030120374e-11
HVAL4->HVAL4,0.8145316956352758,0.10427525274901384,inf,0.6101559557683975,1.0189074355021541,7.8113615087159705,5.657349051936995e-15,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,2.262939620774798e-14
HVAL4->HVAL5,0.45588244226346014,0.12545970041799556,inf,0.20998594793300412,0.7017789365939162,3.6336962446474144,0.0002793897628767988,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.0003529133846864827
HVAL5->V1L5,-0.006994852297456301,0.11278920606966154,inf,-0.22805763403885934,0.21406792944394673,-0.06201703639208258,0.950549265036726,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.950549265036726
HVAL5->HVAL2/3,0.32557961065496205,0.09540695256551388,inf,0.13858541975183358,0.5125738015580905,3.412535479858175,0.0006436154815583122,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.0007723385778699745
HVAL5->HVAL4,0.33881348603907113,0.10682255246488422,inf,0.12944513047125775,0.5481818416068845,3.1717411559740563,0.0015152800002102764,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,0.0017317485716688873
HVAL5->HVAL5,0.5068251421804593,0.09746637492038418,inf,0.3157945576328284,0.6978557267280902,5.199999924019556,1.992886078054548e-07,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.679174297946858e-07
