variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->V1L2/3,20,0,2993,3685,0,0,0,22882,50174,889.584445699,73056
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->V1L4,20,0,2238,2612,0,0,0,15123,36878,400.1384526634,52001
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->V1L5,20,0,1234,1384,0,0,0,12317,15265,399.83739791180005,27582
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->HVAL2/3,15,0,1344,1749,0,0,0,5333,20682,144.503377177,26015
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->HVAL4,14,0,960,1140,0,0,0,3573,12296,81.07609930310001,15869
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L2/3->HVAL5,14,0,472,556,0,0,0,2760,4909,76.181556375,7669
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->V1L2/3,6,0,1963,3689,0,0,0,3397,18627,72.946252735,22024
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->V1L4,6,0,1994,2595,0,0,0,4789,10727,116.56988898499999,15516
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->V1L5,6,0,1183,1373,0,0,0,3481,4847,111.4924345824,8328
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->V1L4,6,0,1885,2605,0,0,0,4225,11383,85.1443445828,15608
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->V1L5,6,0,1193,1349,0,0,0,3860,4467,159.34823256700003,8327
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->V1L2/3,38,0,2951,3689,0,0,0,15381,124366,307.5856688848,139747
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->V1L4,32,0,2041,2612,0,0,0,6399,77097,94.3749283548,83496
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->V1L5,61,0,1224,1406,0,0,0,14499,70963,294.30697560510004,85462
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->HVAL2/3,45,0,1450,1749,0,0,0,21928,56008,919.5802279566999,77936
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->HVAL4,42,0,1005,1140,0,0,0,15541,32084,505.41723246050003,47625
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL2/3->HVAL5,68,0,484,556,0,0,0,15825,21583,556.2032027944999,37408
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->HVAL2/3,12,0,1413,1749,0,0,0,6723,13932,226.0981798277,20655
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->HVAL4,12,0,1005,1138,0,0,0,5860,7642,210.7800335928,13502
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL4->HVAL5,11,0,478,531,0,0,0,3292,2719,182.879339597,6011
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->V1L5,15,0,1136,1406,0,0,0,3748,17279,83.808007221,21027
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->HVAL2/3,17,0,1419,1749,0,0,0,8612,20806,233.0500097589,29418
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->HVAL4,17,0,1009,1140,0,0,0,6776,12499,157.52800505099998,19275
IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,HVAL5->HVAL5,19,0,484,549,0,0,0,5931,4407,254.69841542100002,10338
