variable_name,quantity_name,proj_hva_layer,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->V1L2/3,20,663,2993,0,874,814,874,23696,0,946.583941229,23696
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->V1L4,20,220,2238,0,263,246,263,15369,0,411.7032660134,15369
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->V1L5,20,323,1234,0,702,554,702,12871,0,444.5762450418,12871
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->HVAL2/3,15,213,1344,0,251,236,251,5569,0,157.254650647,5569
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->HVAL4,14,91,960,0,100,93,100,3666,0,84.9109454631,3666
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L2/3->HVAL5,14,99,472,0,142,115,142,2875,0,82.25542752499999,2875
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->V1L2/3,6,120,1963,0,132,122,132,3519,0,77.86678192500001,3519
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->V1L4,6,149,1994,0,164,154,164,4943,0,122.91406251500001,4943
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->V1L5,6,104,1183,0,135,113,135,3594,0,117.3434446424,3594
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L4->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->V1L4,6,70,1885,0,72,70,72,4295,0,87.74326287279999,4295
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->V1L5,6,107,1193,0,125,108,125,3968,0,167.90402012700002,3968
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->HVAL2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->HVAL4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,V1L5->HVAL5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->V1L2/3,38,446,2951,0,514,484,514,15865,0,325.6178573848,15865
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->V1L4,32,89,2041,0,98,91,98,6490,0,96.57946689479999,6490
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->V1L5,61,238,1224,0,367,316,367,14815,0,307.3680852451,14815
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->HVAL2/3,45,578,1450,0,887,814,887,22742,0,991.9812443167,22742
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->HVAL4,42,222,1005,0,328,283,328,15824,0,524.7156364305,15824
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL2/3->HVAL5,68,231,484,0,454,400,454,16225,0,586.7606891545,16225
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->V1L5,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->HVAL2/3,12,292,1413,0,381,358,381,7081,0,247.47418911769998,7081
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->HVAL4,12,155,1005,0,192,172,192,6032,0,222.1339083728,6032
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL4->HVAL5,11,97,478,0,116,105,116,3397,0,193.15518738699998,3397
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->V1L2/3,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->V1L4,0,0,0,0,0,0,0,0,0,0.0,0
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->V1L5,15,61,1136,0,70,65,70,3813,0,86.707868881,3813
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->HVAL2/3,17,292,1419,0,368,344,368,8956,0,252.7123409489,8956
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->HVAL4,17,103,1009,0,121,113,121,6889,0,162.98608628099998,6889
IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,HVAL5->HVAL5,19,158,484,0,225,207,225,6138,0,272.426214521,6138
