proj_hva_layer,readout_location_distance_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,-0.16702997828868232,0.0018861317285456382,inf,-0.17072672854673004,-0.1633332280306346,-88.55689969092249,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
V1L2/3->V1L4,-0.14128482018775296,0.0024255705910228445,inf,-0.14603885118811727,-0.13653078918738865,-58.248076024113665,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
V1L2/3->V1L5,-0.11147163881105776,0.0026078718305128008,inf,-0.1165829736751594,-0.10636030394695613,-42.74429345292573,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
V1L2/3->HVAL2/3,-0.031812473262765505,0.0033889143955841655,inf,-0.03845462342479979,-0.025170323100731216,-9.387216538788321,6.160677030864419e-21,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.392812437037303e-21
V1L2/3->HVAL4,-0.03049096448754817,0.0040457344629984725,inf,-0.038420458326037674,-0.022561470649058668,-7.536570866529379,4.82490816534837e-14,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.26353618038004e-14
V1L2/3->HVAL5,-0.014257449785905518,0.005071714210370859,inf,-0.0241978269781124,-0.004317072593698637,-2.811169792799301,0.004936172924490852,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.004936172924490852
V1L4->V1L2/3,-0.09715445181140453,0.005539768974431747,inf,-0.10801219948396314,-0.08629670413884592,-17.537636002477946,7.393988407417693e-69,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.109098261112654e-68
V1L4->V1L4,-0.13597824709616674,0.004624749050610023,inf,-0.14504258867289818,-0.1269139055194353,-29.40229742373387,5.132552947921165e-190,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.7597324392872563e-189
V1L4->V1L5,-0.13388667345856117,0.00543213788389365,inf,-0.14453346807004835,-0.12323987884707399,-24.64714193937099,3.94917955757599e-134,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.89835911515198e-134
V1L5->V1L4,-0.05309505246784594,0.004896607715676109,inf,-0.06269222723699205,-0.043497877698699824,-10.843231794506686,2.1474814144014303e-27,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.712608102401807e-27
V1L5->V1L5,-0.09197269446614681,0.004829627620250621,inf,-0.10143859066057792,-0.0825067982717157,-19.04343392449253,7.448050267740424e-81,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.1916880428384677e-80
HVAL2/3->V1L2/3,-0.015011053356159139,0.002302330132515429,inf,-0.019523537496410708,-0.010498569215907569,-6.519939579541832,7.033571802032248e-11,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.339379271685824e-11
HVAL2/3->V1L4,-0.03055059760853235,0.003703507225139654,inf,-0.03780933838628994,-0.023291856830774754,-8.249098962505826,1.5959323581567035e-16,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.8239226950362326e-16
HVAL2/3->V1L5,-0.03534614997900853,0.0024615256255519423,inf,-0.04017065155211276,-0.030521648405904295,-14.359448308031707,9.29642253410884e-47,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.2395230045478454e-46
HVAL2/3->HVAL2/3,-0.09903802587305167,0.0016637418880892485,inf,-0.10229890005327727,-0.09577715169282608,-59.52727798829031,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
HVAL2/3->HVAL4,-0.08327107001891314,0.0020622493568345796,inf,-0.0873130044854498,-0.07922913555237647,-40.378759117049206,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
HVAL2/3->HVAL5,-0.047184783994373286,0.0020900994402439322,inf,-0.05128130362135872,-0.04308826436738785,-22.57537755661349,7.566085399432122e-113,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.3968157660490071e-112
HVAL4->HVAL2/3,-0.08386139549813736,0.0030222061494208628,inf,-0.08978481070485772,-0.07793798029141699,-27.748403435089127,1.8215174277017423e-169,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,4.857379807204646e-169
HVAL4->HVAL4,-0.09342554380049924,0.00297849645019695,inf,-0.09926328957096565,-0.08758779803003282,-31.366679585708944,5.763440595014642e-216,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,2.3053762380058569e-215
HVAL4->HVAL5,-0.10890026427070293,0.003890016083971729,inf,-0.11652455569456906,-0.1012759728468368,-27.994810797675452,1.879184189659469e-172,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,5.637552568978408e-172
HVAL5->V1L5,-0.06729179600400967,0.004374775014580426,inf,-0.075866197473053,-0.05871739453496634,-15.381772955120404,2.1692530990919625e-53,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,3.062474963423947e-53
HVAL5->HVAL2/3,-0.052056171578444416,0.002642384425901038,inf,-0.057235149886519995,-0.046877193270368836,-19.7004535253017,2.1369727468704512e-86,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,3.663381851777916e-86
HVAL5->HVAL4,-0.07106383109219534,0.0028829686228173273,inf,-0.07671434576147634,-0.06541331642291434,-24.64953330735509,3.722769580966477e-134,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.89835911515198e-134
HVAL5->HVAL5,-0.08190622309551031,0.003044610432256248,inf,-0.08787354988968749,-0.07593889630133313,-26.902037195876204,2.0789371210069999e-159,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,4.989449090416799e-159
