effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-4.321571770276764,0.047157259611363155,-91.64170704345646,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt,-0.07822255626222246,0.0007360223086171733,-106.27742576062093,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.L,0.9544683719548601,0.2156236324853125,4.42654805947523,9.575305635883116e-06,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.Q,2.0314749299005164,0.2092282429566366,9.709372411646871,2.750252486788741e-22,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.C,-0.9833997641146105,0.230254362468189,-4.270927827699564,1.9466140231023696e-05,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^4,-0.05587890315173059,0.21526409411828043,-0.25958301769094383,0.795185437307193,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^5,-0.21285642342136268,0.22349356639163623,-0.9524051490966247,0.3408915490929524,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^6,2.085120284025124,0.21904341962577162,9.519209878970493,1.7450074275500976e-21,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^7,2.0721892730892906,0.22530021292772145,9.197458121151751,3.665169822231556e-20,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^8,-1.5677381049971277,0.22001614529814825,-7.125559366893983,1.0365883976435804e-12,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^9,-0.5900501682395325,0.2321066422471762,-2.5421511531375014,0.011017251729509776,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^10,0.9381462497606713,0.2195417383926811,4.273202246775807,1.9268553476557774e-05,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^11,-0.729714796871417,0.2268775640880702,-3.2163374100232915,0.0012983808142652373,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^12,-0.8635289092932912,0.22928884128067337,-3.7661183355898338,0.00016580522920086772,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^13,-0.6967541965987886,0.22936657762123858,-3.0377320175625773,0.002383658272639279,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^14,1.8621965200265518,0.22708486028352348,8.200443295521918,2.395021927564447e-16,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^15,0.8648410835591117,0.24195151178608745,3.5744396766726103,0.00035097871699510635,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^16,0.5175126093553158,0.2409500129618365,2.1478007118318083,0.031729590458956194,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^17,-0.19981468617977388,0.23640093097827916,-0.845236460587937,0.39797882902946946,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^18,0.3939115523370024,0.2461564389008516,1.6002488258926453,0.10954339443496496,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^19,1.185076568461925,0.25171588459039135,4.707992784763503,2.501679541184261e-06,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^20,-0.9182875259127211,0.25689790510014937,-3.574523215962913,0.0003508666807777292,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^21,-0.10976776218692685,0.2429689344198769,-0.4517769419741379,0.6514296823958264,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^22,0.6694963056217533,0.2395592362177224,2.794700451512896,0.005194782452998171,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^23,1.1354504196031483,0.2272299653505728,4.996922029413521,5.825260748667259e-07,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer.L,0.043896523073354954,0.003274324612680671,13.406283208254395,5.555401162091932e-41,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer.Q,-0.06580331632913651,0.003089364637916688,-21.299951297918316,1.1363920454027068e-100,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer.C,0.05452374501463417,0.0034642576647211406,15.738940428677125,8.180195629903302e-56,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer^4,-0.03564577271643114,0.0034182612751808635,-10.428042167298955,1.8465374001674712e-25,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer^5,0.05833470585386581,0.0033695787575706957,17.312165718875296,3.8081758736898624e-67,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer^6,-0.05530038989011088,0.00332563364785723,-16.62852729606642,4.3310944041893894e-62,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer^7,-0.06852591715639172,0.0034255668626830198,-20.00425620147432,5.056731176760277e-89,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_cvt:proj_hva_layer^8,0.07695718955487096,0.0034216476463546897,22.491266637831224,5.053632664022939e-112,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL
