effect,component,group,level,term,estimate,std.error,statistic,p.value,variable_name,quantity_name
fixed,cond,,,(Intercept),-4.498342457942806,0.047448993505698214,-94.80374873289134,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,readout_location_distance_sta,-0.029963679973258054,0.0003832078771838783,-78.19171201139035,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.L,1.0017777180703484,0.21684904523034712,4.619700847685142,3.842937191075494e-06,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.Q,1.833279291338148,0.21050760130796936,8.708850796585196,3.0697101931758113e-18,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer.C,-0.8831779574730978,0.2316424152449645,-3.8126780733965626,0.0001374691181216178,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^4,-0.31156206581002116,0.21654149868960987,-1.4388099634269806,0.1502043726990398,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^5,0.08966559825270003,0.22483073270669204,0.39881379726531996,0.6900304099759993,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^6,2.1864043794469605,0.220349113085032,9.922456001006159,3.3247274540545754e-23,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^7,1.6351356528868346,0.22669208375412037,7.213024935887795,5.47223888144333e-13,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^8,-1.2478174639841142,0.22132253599973445,-5.638004545482035,1.7203196911016782e-08,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^9,-0.6279112615191879,0.23349010278413695,-2.6892414454915707,0.00716146004372536,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^10,0.9149465464681855,0.22087359708183685,4.1423989039721425,3.43691882173357e-05,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^11,-0.29655428983781185,0.2282875348564465,-1.2990384692895884,0.19393072750289123,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^12,-0.8200048473303335,0.2306413118727431,-3.55532510924484,0.0003775119934259005,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^13,-0.8951515872608038,0.230781153436854,-3.8787898142026314,0.00010497740827698943,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
fixed,cond,,,proj_hva_layer^14,1.7468623601831925,0.2284541750941823,7.6464453296291595,2.0661124486384968e-14,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL
