contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1L2/3->V1L2/3) - (V1L2/3->V1L4),-0.023162334052982653,-13.783185434423332,3.2175545091509192e-43,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.1143929631563183e-42
(V1L2/3->V1L2/3) - (V1L2/3->V1L5),-0.032214492098684225,-17.86218999754737,2.3234154190613286e-71,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.671927731920528e-70
(V1L2/3->V1L2/3) - (V1L2/3->HVAL2/3),-0.04796918099308386,-24.910728448438007,5.693167960519694e-137,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.9641429463792945e-135
(V1L2/3->V1L2/3) - (V1L2/3->HVAL4),-0.04675578928981683,-19.34063838355807,2.44430443134956e-83,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.7479334614026585e-82
(V1L2/3->V1L2/3) - (V1L2/3->HVAL5),-0.05023964668075966,-17.879239283336016,1.7115633515830272e-71,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,2.0538760218996328e-70
(V1L2/3->V1L2/3) - (V1L4->V1L2/3),-0.012212182432657303,-3.6077809096712965,0.000308827096514854,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.00046577201441584546
(V1L2/3->V1L2/3) - (V1L4->V1L4),-0.033893031132046114,-12.26909172286213,1.327339328592812e-34,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,8.51966638817712e-34
(V1L2/3->V1L2/3) - (V1L4->V1L5),-0.029030853598368073,-9.019949715694725,1.8817565588396626e-19,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,7.114586441640368e-19
(V1L2/3->V1L2/3) - (V1L5->V1L4),-0.0439608034416658,-16.073151016505268,3.9356182533912455e-58,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.2916079937454054e-57
(V1L2/3->V1L2/3) - (V1L5->V1L5),-0.049070894661858294,-18.60209946796966,3.089671523404931e-77,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,4.0607111450464805e-76
(V1L2/3->V1L2/3) - (HVAL2/3->V1L2/3),-0.06605718997678876,-40.714361448662565,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L2/3) - (HVAL2/3->V1L4),-0.05015689123072613,-22.747536555204643,1.517887285178982e-114,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,3.491140755911659e-113
(V1L2/3->V1L2/3) - (HVAL2/3->V1L5),-0.06727581547890671,-39.88424411172679,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL2/3),-0.02659855266155812,-20.766514159394085,8.69436449020643e-96,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.7140318566406962e-94
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL4),-0.0354211740581584,-24.87262130121578,1.472200905916367e-136,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,4.514749444810192e-135
(V1L2/3->V1L2/3) - (HVAL2/3->HVAL5),-0.03818185930202421,-26.306080086595568,1.6339134785974409e-152,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,7.516002001548228e-151
(V1L2/3->V1L2/3) - (HVAL4->HVAL2/3),-0.03150670884569189,-18.40455540530102,1.207717038230847e-75,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.5151359206896083e-74
