proj_hva_layer,readout_similarity_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,1.00473895245906,0.07722068065217472,inf,0.8533891995191286,1.1560887053989914,13.011267758499926,1.0557590429193171e-38,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,8.446072343354537e-38
V1L2/3->V1L4,0.5121881985208724,0.101565591495369,inf,0.3131232971214416,0.7112530999203032,5.042930297355932,4.5845628729686823e-07,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,9.169125745937365e-07
V1L2/3->V1L5,0.6015598417600629,0.10942200403959898,inf,0.38709665472625265,0.8160230287938732,5.497613090163868,3.8496642922100947e-08,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,8.399267546640207e-08
V1L2/3->HVAL2/3,0.8490521361830801,0.18890864105894137,inf,0.47879800333915057,1.2193062690270096,4.4945119049274584,6.972970256337597e-06,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.1156752410140156e-05
V1L2/3->HVAL4,0.8040123541220896,0.24223648865927205,inf,0.32923756060847126,1.278787147635708,3.319121568233294,0.0009030110787795998,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.001274839170041788
V1L2/3->HVAL5,0.4098559198748749,0.26929948826209044,inf,-0.1179613781738893,0.9376732179236391,1.5219335265724334,0.12802573750863638,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.13359207392205535
V1L4->V1L2/3,0.257046132403496,0.20475310978893563,inf,-0.1442625885053933,0.6583548533123853,1.2553954988447562,0.20933522253802103,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.20933522253802103
V1L4->V1L4,0.7692566756621555,0.15706766895475371,inf,0.46140970137517834,1.0771036499491327,4.897613116571777,9.700779250809155e-07,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.7909130924570748e-06
V1L4->V1L5,0.6624353198953253,0.1764693160736569,inf,0.31656181601454264,1.008308823776108,3.753827207098315,0.0001741549386389723,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.0002612324079584585
V1L5->V1L4,0.46518678534867197,0.1861443458674993,inf,0.10035057152260618,0.8300229991747378,2.4990648154298483,0.012452153393297012,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.01660287119106268
V1L5->V1L5,0.3608734008447501,0.16489807215533756,inf,0.03767911830020143,0.6840676833892988,2.1884634315481843,0.028635862174035385,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.03272669962746901
HVAL2/3->V1L2/3,0.2511555622821456,0.10945011610248523,inf,0.03663727661754715,0.46567384794674405,2.294703479774954,0.021750123251089434,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.02747383989611297
HVAL2/3->V1L4,0.3779341988405945,0.1702604240101352,inf,0.0442298997882109,0.7116384978929781,2.219741910299113,0.026436292157097283,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.03172355058851674
HVAL2/3->V1L5,1.0782207963553865,0.10995214570990569,inf,0.8627185507410712,1.293723041969702,9.806273350955156,1.0580401371273899e-22,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,5.0785926582114715e-22
HVAL2/3->HVAL2/3,2.692300333638097,0.07979696808671057,inf,2.5359011501126525,2.8486995171635416,33.73938130973267,1.5302466544337636e-249,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,3.672591970641033e-248
HVAL2/3->HVAL4,2.012617889246231,0.10360870083097341,inf,1.809548567132538,2.215687211359924,19.425182181654833,4.727053055011844e-84,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,5.672463666014213e-83
HVAL2/3->HVAL5,0.8851025107599347,0.10233820740954938,inf,0.6845233099948279,1.0856817115250417,8.648798265713458,5.2044570916072196e-18,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.561337127482166e-17
HVAL4->HVAL2/3,1.5598967883997132,0.15057275274499105,inf,1.2647796159664764,1.8550139608329501,10.359754736247291,3.779298666596123e-25,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,2.267579199957674e-24
HVAL4->HVAL4,1.4361838121366248,0.1477958160976758,inf,1.146509335519475,1.7258582887537746,9.717350937644099,2.543114650318947e-22,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.0172458601275788e-21
HVAL4->HVAL5,0.8842304319211274,0.18244722690336757,inf,0.5266404381113199,1.2418204257309349,4.846499708046845,1.2565877291683387e-06,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,2.154150392860009e-06
HVAL5->V1L5,1.1685170119912478,0.18726235171602,inf,0.8014895469675763,1.5355444770149194,6.239999665086354,4.375718304792938e-10,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.050172393150305e-09
HVAL5->HVAL2/3,0.27253844024121215,0.14257750395864618,inf,-0.006908332523351268,0.5519852130057756,1.9115108111323118,0.05593896880516877,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,0.06102432960563866
HVAL5->HVAL4,1.1952731892481954,0.1554082085794712,inf,0.8906786975305432,1.4998676809658475,7.691184398647563,1.4577914891342185e-14,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,3.887443971024583e-14
HVAL5->HVAL5,1.3060088662425327,0.14212908723330928,inf,1.027440974109695,1.5845767583753703,9.18889223638423,3.969075782471526e-20,READOUT_SIMILARITY_CVT,LD_DENSITY_CONTROL,1.360825982561666e-19
